param_name,layer_type,shape,numel,bits_quant,raw_bytes,mse_post,nmse_post,compressed_bytes,compression_ratio,compression_gain_pct,bits_per_element,encode_time,decode_time
bert_embeddings_word_embeddings_weight,Weight,"30522x768",23440896,8,23440896,2.2967,9.32892,14185650,1.65244,39.4833,4.84133,41789.7,41066.4
bert_embeddings_position_embeddings_weight,Weight,"512x768",393216,8,393216,0.0815608,0.326243,244963,1.60521,37.7027,4.98378,785.541,739.095
bert_embeddings_token_type_embeddings_weight,Weight,"2x768",1536,8,1536,0.014974,0.0598958,904,1.69912,41.1458,4.70833,2.4121,2.4898
bert_embeddings_LayerNorm_weight,Weight,"768",768,12,1152,89.8281,0.00467486,763,1.50983,33.7674,7.94792,2.3373,2.4293
bert_embeddings_LayerNorm_bias,Bias,"768",768,12,1152,50.2526,15.618,643,1.7916,44.184,6.69792,1.8148,1.7274
bert_encoder_layer_0_attention_self_query_weight,Weight,"768x768",589824,8,589824,0.0671065,0.268426,438819,1.34412,25.6017,5.95186,1349.9,1306.16
bert_encoder_layer_0_attention_self_query_bias,Bias,"768",768,12,1152,24.237,17.5157,835,1.37964,27.5174,8.69792,2.2566,2.1665
bert_encoder_layer_0_attention_self_key_weight,Weight,"768x768",589824,8,589824,0.0686154,0.274462,435729,1.35365,26.1256,5.90995,1344.68,1312.81
bert_encoder_layer_0_attention_self_key_bias,Bias,"768",768,12,1152,27.9388,7.14808,817,1.41004,29.0799,8.51042,2.2527,2.2327
bert_encoder_layer_0_attention_self_value_weight,Weight,"768x768",589824,8,589824,0.0852882,0.341153,395674,1.49068,32.9166,5.36667,1315.06,1236.53
bert_encoder_layer_0_attention_self_value_bias,Bias,"768",768,12,1152,37.1263,33.6937,723,1.59336,37.2396,7.53125,2.017,2.0471
bert_encoder_layer_0_attention_output_dense_weight,Weight,"768x768",589824,12,884736,0.00852119,0.0340847,838630,1.05498,5.21127,11.3746,1838.34,1730.82
bert_encoder_layer_0_attention_output_dense_bias,Bias,"768",768,12,1152,36.3008,14.1221,707,1.62942,38.6285,7.36458,2.1071,2.0962
bert_encoder_layer_0_attention_output_LayerNorm_weight,Weight,"768",768,12,1152,903.495,0.21878,526,2.19011,54.3403,5.47917,1.9252,1.9789
bert_encoder_layer_0_attention_output_LayerNorm_bias,Bias,"768",768,12,1152,44.7396,57.8451,654,1.76147,43.2292,6.8125,1.8848,2.0657
bert_encoder_layer_0_intermediate_dense_weight,Weight,"3072x768",2359296,12,3538944,0.00337685,0.0135074,4278703,0.827107,-20.9034,14.5084,7180.18,7036.5
bert_encoder_layer_0_intermediate_dense_bias,Bias,"3072",3072,12,4608,181.642,2.25844,2752,1.67442,40.2778,7.16667,8.0379,8.4416
bert_encoder_layer_0_output_dense_weight,Weight,"768x3072",2359296,12,3538944,0.0184975,0.0739899,2887661,1.22554,18.4033,9.7916,7080.93,6774.47
bert_encoder_layer_0_output_dense_bias,Bias,"768",768,12,1152,33.8776,7.81234,744,1.54839,35.4167,7.75,2.1229,2.0814
bert_encoder_layer_0_output_LayerNorm_weight,Weight,"768",768,12,1152,98.9336,0.00328075,761,1.5138,33.941,7.92708,2.2954,2.2156
bert_encoder_layer_0_output_LayerNorm_bias,Bias,"768",768,12,1152,43.1029,21.5269,669,1.72197,41.9271,6.96875,1.8767,2.6744
