param_name,layer_type,shape,numel,bits_quant,raw_bytes,mse_post,nmse_post,header_bits,compressed_bytes,compression_ratio,compression_gain_pct,bits_per_element,encode_time,decode_time
bert_embeddings_word_embeddings_weight,Weight,"30522x768",23440896,8,23440896,2.2967,9.32892,62,14206318,1.65003,39.3952,4.84839,41641.8,40438.3
bert_embeddings_position_embeddings_weight,Weight,"512x768",393216,8,393216,0.0815608,0.326243,49,244928,1.60544,37.7116,4.98307,768.605,735.96
bert_embeddings_token_type_embeddings_weight,Weight,"2x768",1536,8,1536,0.014974,0.0598958,41,902,1.70288,41.276,4.69792,3.1119,2.3632
bert_embeddings_LayerNorm_weight,Weight,"768",768,12,1152,89.8281,0.00467486,46,763,1.50983,33.7674,7.94792,2.623,2.255
bert_embeddings_LayerNorm_bias,Bias,"768",768,12,1152,50.2526,15.618,46,643,1.7916,44.184,6.69792,3.1626,1.7666
bert_encoder_layer_0_attention_self_query_weight,Weight,"768x768",589824,8,589824,0.0671065,0.268426,49,442840,1.33191,24.92,6.0064,1349.72,1305.1
bert_encoder_layer_0_attention_self_query_bias,Bias,"768",768,12,1152,0,0,46,1159,0.99396,-0.607639,12.0729,2.8575,0.8503
bert_encoder_layer_0_attention_self_key_weight,Weight,"768x768",589824,8,589824,0.0686154,0.274462,49,441239,1.33674,25.1914,5.98469,1348.93,1296.72
bert_encoder_layer_0_attention_self_key_bias,Bias,"768",768,12,1152,0,0,46,1159,0.99396,-0.607639,12.0729,2.239,1.0377
bert_encoder_layer_0_attention_self_value_weight,Weight,"768x768",589824,8,589824,0.0852882,0.341153,49,412383,1.43028,30.0837,5.5933,1298.27,1237.58
bert_encoder_layer_0_attention_self_value_bias,Bias,"768",768,12,1152,37.1263,33.6937,46,723,1.59336,37.2396,7.53125,3.7054,1.9702
bert_encoder_layer_0_attention_output_dense_weight,Weight,"768x768",589824,12,884736,0.00852119,0.0340847,49,833949,1.0609,5.74036,11.3112,1770.47,1712.19
bert_encoder_layer_0_attention_output_dense_bias,Bias,"768",768,12,1152,36.3008,14.1221,46,707,1.62942,38.6285,7.36458,2.7366,1.994
bert_encoder_layer_0_attention_output_LayerNorm_weight,Weight,"768",768,12,1152,903.495,0.21878,46,526,2.19011,54.3403,5.47917,2.4555,1.8682
bert_encoder_layer_0_attention_output_LayerNorm_bias,Bias,"768",768,12,1152,44.7396,57.8451,46,654,1.76147,43.2292,6.8125,2.9315,1.9067
bert_encoder_layer_0_intermediate_dense_weight,Weight,"3072x768",2359296,12,3538944,0,0,51,3538952,0.999998,-0.000226056,12,599.693,454.379
bert_encoder_layer_0_intermediate_dense_bias,Bias,"3072",3072,12,4608,0,0,48,4616,0.998267,-0.173611,12.0208,2.7312,1.5131
