tensor_name,tensor_type,chunks,used_chunks,skipped_chunks,pred_none,pred_mean,pred_neighbor,pred_none_pct,pred_mean_pct,pred_neighbor_pct,skip_pct
transformer_h_0_attn_bias,bias,512,512,0,1,0,511,0.001953125,0.0,0.998046875,0.0
transformer_h_0_attn_c_attn_bias,bias,2,1,1,1,0,0,1.0,0.0,0.0,0.5
transformer_h_0_attn_c_attn_weight,weight,864,864,0,774,2,88,0.8958333333333334,0.0023148148148148147,0.10185185185185185,0.0
transformer_h_0_attn_c_proj_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_0_attn_c_proj_weight,weight,288,288,0,287,0,1,0.9965277777777778,0.0,0.003472222222222222,0.0
transformer_h_0_attn_masked_bias,bias,1,1,0,0,1,0,0.0,1.0,0.0,0.0
transformer_h_0_ln_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_0_ln_1_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
transformer_h_0_ln_2_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_0_ln_2_weight,weight,1,1,0,0,0,1,0.0,0.0,1.0,0.0
transformer_h_0_mlp_c_fc_bias,bias,2,0,2,0,0,0,0,0,0,1.0
transformer_h_0_mlp_c_fc_weight,weight,1152,1152,0,655,395,102,0.5685763888888888,0.3428819444444444,0.08854166666666667,0.0
transformer_h_0_mlp_c_proj_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_0_mlp_c_proj_weight,weight,1152,1152,0,1,0,1151,0.0008680555555555555,0.0,0.9991319444444444,0.0
transformer_h_10_attn_bias,bias,512,512,0,1,0,511,0.001953125,0.0,0.998046875,0.0
transformer_h_10_attn_c_attn_bias,bias,2,0,2,0,0,0,0,0,0,1.0
transformer_h_10_attn_c_attn_weight,weight,864,864,0,860,3,1,0.9953703703703703,0.003472222222222222,0.0011574074074074073,0.0
transformer_h_10_attn_c_proj_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_10_attn_c_proj_weight,weight,288,288,0,265,0,23,0.9201388888888888,0.0,0.0798611111111111,0.0
transformer_h_10_attn_masked_bias,bias,1,1,0,0,1,0,0.0,1.0,0.0,0.0
transformer_h_10_ln_1_bias,bias,1,1,0,0,1,0,0.0,1.0,0.0,0.0
transformer_h_10_ln_1_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
transformer_h_10_ln_2_bias,bias,1,1,0,0,1,0,0.0,1.0,0.0,0.0
transformer_h_10_ln_2_weight,weight,1,1,0,0,0,1,0.0,0.0,1.0,0.0
transformer_h_10_mlp_c_fc_bias,bias,2,0,2,0,0,0,0,0,0,1.0
transformer_h_10_mlp_c_fc_weight,weight,1152,1152,0,632,519,1,0.5486111111111112,0.4505208333333333,0.0008680555555555555,0.0
transformer_h_10_mlp_c_proj_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_10_mlp_c_proj_weight,weight,1152,1152,0,1000,0,152,0.8680555555555556,0.0,0.13194444444444445,0.0
transformer_h_11_attn_bias,bias,512,512,0,1,0,511,0.001953125,0.0,0.998046875,0.0
transformer_h_11_attn_c_attn_bias,bias,2,0,2,0,0,0,0,0,0,1.0
transformer_h_11_attn_c_attn_weight,weight,864,864,0,858,2,4,0.9930555555555556,0.0023148148148148147,0.004629629629629629,0.0
transformer_h_11_attn_c_proj_bias,bias,1,1,0,1,0,0,1.0,0.0,0.0,0.0
transformer_h_11_attn_c_proj_weight,weight,288,288,0,35,0,253,0.12152777777777778,0.0,0.8784722222222222,0.0
transformer_h_11_attn_masked_bias,bias,0,0,0,0,0,0,0,0,0,0
transformer_h_11_ln_1_bias,bias,1,1,0,0,1,0,0.0,1.0,0.0,0.0
transformer_h_11_ln_1_weight,weight,1,1,0,0,0,1,0.0,0.0,1.0,0.0
transformer_h_11_ln_2_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_11_ln_2_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
transformer_h_11_mlp_c_fc_bias,bias,2,0,2,0,0,0,0,0,0,1.0
transformer_h_11_mlp_c_fc_weight,weight,1152,1152,0,730,418,4,0.6336805555555556,0.3628472222222222,0.003472222222222222,0.0
transformer_h_11_mlp_c_proj_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_11_mlp_c_proj_weight,weight,1152,1152,0,367,0,785,0.3185763888888889,0.0,0.6814236111111112,0.0
transformer_h_1_attn_bias,bias,512,512,0,1,0,511,0.001953125,0.0,0.998046875,0.0
