tensor_name,tensor_type,chunks,used_chunks,skipped_chunks,pred_none,pred_mean,pred_neighbor,pred_none_pct,pred_mean_pct,pred_neighbor_pct,skip_pct
bn1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
bn1_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
conv1_weight,weight,5,5,0,3,0,2,0.6,0.0,0.4,0.0
fc_bias,bias,0,0,0,0,0,0,0,0,0,0
fc_weight,weight,1000,1000,0,999,0,1,0.999,0.0,0.001,0.0
layer1_0_bn1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer1_0_bn1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
layer1_0_bn2_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer1_0_bn2_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
layer1_0_bn3_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer1_0_bn3_weight,weight,1,0,1,0,0,0,0,0,0,1.0
layer1_0_conv1_weight,weight,2,2,0,2,0,0,1.0,0.0,0.0,0.0
layer1_0_conv2_weight,weight,18,18,0,14,0,4,0.7777777777777778,0.0,0.2222222222222222,0.0
layer1_0_conv3_weight,weight,8,8,0,8,0,0,1.0,0.0,0.0,0.0
layer1_0_downsample_0_weight,weight,8,8,0,7,0,1,0.875,0.0,0.125,0.0
layer1_0_downsample_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer1_0_downsample_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
layer1_1_bn1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer1_1_bn1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
layer1_1_bn2_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer1_1_bn2_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
layer1_1_bn3_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer1_1_bn3_weight,weight,1,0,1,0,0,0,0,0,0,1.0
layer1_1_conv1_weight,weight,8,8,0,8,0,0,1.0,0.0,0.0,0.0
layer1_1_conv2_weight,weight,18,18,0,18,0,0,1.0,0.0,0.0,0.0
layer1_1_conv3_weight,weight,8,8,0,8,0,0,1.0,0.0,0.0,0.0
layer1_2_bn1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer1_2_bn1_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
layer1_2_bn2_bias,bias,1,1,0,0,1,0,0.0,1.0,0.0,0.0
layer1_2_bn2_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
layer1_2_bn3_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer1_2_bn3_weight,weight,1,0,1,0,0,0,0,0,0,1.0
layer1_2_conv1_weight,weight,8,8,0,8,0,0,1.0,0.0,0.0,0.0
layer1_2_conv2_weight,weight,18,18,0,18,0,0,1.0,0.0,0.0,0.0
layer1_2_conv3_weight,weight,8,8,0,8,0,0,1.0,0.0,0.0,0.0
layer2_0_bn1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer2_0_bn1_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
layer2_0_bn2_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer2_0_bn2_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
layer2_0_bn3_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer2_0_bn3_weight,weight,1,0,1,0,0,0,0,0,0,1.0
layer2_0_conv1_weight,weight,16,16,0,16,0,0,1.0,0.0,0.0,0.0
layer2_0_conv2_weight,weight,72,72,0,47,0,25,0.6527777777777778,0.0,0.3472222222222222,0.0
layer2_0_conv3_weight,weight,32,32,0,32,0,0,1.0,0.0,0.0,0.0
layer2_0_downsample_0_weight,weight,64,64,0,63,1,0,0.984375,0.015625,0.0,0.0
layer2_0_downsample_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer2_0_downsample_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
layer2_1_bn1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer2_1_bn1_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
layer2_1_bn2_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer2_1_bn2_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
layer2_1_bn3_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer2_1_bn3_weight,weight,1,0,1,0,0,0,0,0,0,1.0
layer2_1_conv1_weight,weight,32,32,0,32,0,0,1.0,0.0,0.0,0.0
layer2_1_conv2_weight,weight,72,72,0,38,0,34,0.5277777777777778,0.0,0.4722222222222222,0.0
layer2_1_conv3_weight,weight,32,32,0,32,0,0,1.0,0.0,0.0,0.0
layer2_2_bn1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer2_2_bn1_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
layer2_2_bn2_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer2_2_bn2_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
layer2_2_bn3_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer2_2_bn3_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
layer2_2_conv1_weight,weight,32,32,0,32,0,0,1.0,0.0,0.0,0.0
layer2_2_conv2_weight,weight,72,72,0,55,0,17,0.7638888888888888,0.0,0.2361111111111111,0.0
layer2_2_conv3_weight,weight,32,32,0,32,0,0,1.0,0.0,0.0,0.0
layer2_3_bn1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer2_3_bn1_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
layer2_3_bn2_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer2_3_bn2_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
layer2_3_bn3_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer2_3_bn3_weight,weight,1,0,1,0,0,0,0,0,0,1.0
layer2_3_conv1_weight,weight,32,32,0,32,0,0,1.0,0.0,0.0,0.0
layer2_3_conv2_weight,weight,72,72,0,71,0,1,0.9861111111111112,0.0,0.013888888888888888,0.0
layer2_3_conv3_weight,weight,32,32,0,31,1,0,0.96875,0.03125,0.0,0.0
layer3_0_bn1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer3_0_bn1_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
layer3_0_bn2_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer3_0_bn2_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
layer3_0_bn3_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer3_0_bn3_weight,weight,1,0,1,0,0,0,0,0,0,1.0
layer3_0_conv1_weight,weight,64,64,0,62,0,2,0.96875,0.0,0.03125,0.0
layer3_0_conv2_weight,weight,288,288,0,177,1,110,0.6145833333333334,0.003472222222222222,0.3819444444444444,0.0
layer3_0_conv3_weight,weight,128,128,0,128,0,0,1.0,0.0,0.0,0.0
layer3_0_downsample_0_weight,weight,256,256,0,115,0,141,0.44921875,0.0,0.55078125,0.0
layer3_0_downsample_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer3_0_downsample_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
layer3_1_bn1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer3_1_bn1_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
layer3_1_bn2_bias,bias,1,1,0,0,1,0,0.0,1.0,0.0,0.0
layer3_1_bn2_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
layer3_1_bn3_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer3_1_bn3_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
layer3_1_conv1_weight,weight,128,128,0,112,0,16,0.875,0.0,0.125,0.0
layer3_1_conv2_weight,weight,288,288,0,108,0,180,0.375,0.0,0.625,0.0
layer3_1_conv3_weight,weight,128,128,0,121,0,7,0.9453125,0.0,0.0546875,0.0
layer3_2_bn1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer3_2_bn1_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
layer3_2_bn2_bias,bias,1,0,1,0,0,0,0,0,0,1.0
layer3_2_bn2_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
