tensor_name,tensor_type,num_weights,num_chunks,bitwidth,predictor,bestK,bits_per_element,skip_count,skip_total,skip_p1,ctx0_zeros,ctx0_ones,ctx0_p1,ctx1_zeros,ctx1_ones,ctx1_p1,ctx2_zeros,ctx2_ones,ctx2_p1,ctx3_zeros,ctx3_ones,ctx3_p1,ctx4_zeros,ctx4_ones,ctx4_p1,ctx5_zeros,ctx5_ones,ctx5_p1,ctx6_zeros,ctx6_ones,ctx6_p1,ctx7_zeros,ctx7_ones,ctx7_p1,ctx8_zeros,ctx8_ones,ctx8_p1,ctx9_zeros,ctx9_ones,ctx9_p1,ctx10_zeros,ctx10_ones,ctx10_p1,ctx11_zeros,ctx11_ones,ctx11_p1,ctx12_zeros,ctx12_ones,ctx12_p1
lm_head_bias,bias,50265,25,12,0,0,4.246094,0,25,0.0,50265,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
lm_head_dense_bias,bias,768,1,12,0,0,4.246094,0,1,0.0,768,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
lm_head_dense_weight,weight,589824,288,8,2,2,8.429636,288,288,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
lm_head_layer_norm_bias,bias,768,1,12,0,0,4.246094,0,1,0.0,768,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
lm_head_layer_norm_weight,weight,768,1,8,0,0,4.246094,0,1,0.0,768,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
roberta_embeddings_LayerNorm_bias,bias,768,1,12,0,2,13.496353,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
roberta_embeddings_LayerNorm_weight,weight,768,1,8,1,1,6.034266,0,1,0.0,2,30,0.9375,13,394,0.9680589680589681,16,313,0.9513677811550152,329,408,0.55359565807327,70,140,0.6666666666666666,118,219,0.6498516320474778,436,0,0.0,436,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,301,436,0.5915875169606513
roberta_embeddings_position_embeddings_weight,weight,394752,193,8,0,1,6.724406,0,193,0.0,1891,18932,0.9091869567305384,9207,175842,0.9502456106220515,9542,179338,0.9494811520542144,188953,185159,0.4949293259772475,53278,100137,0.6527197470912232,52712,98392,0.6511541719610334,197586,22,0.00011133152503947209,195169,2439,0.01234261770778511,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,176504,197608,0.5282054571892909
roberta_embeddings_position_ids,buffer,514,1,32,2,0,7.333764,0,1,0.0,1,1,0.5,0,0,0.0,0,512,1.0,513,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,513,0,0.0
roberta_embeddings_token_type_embeddings_weight,weight,768,1,8,0,1,7.428879,0,1,0.0,0,17,1.0,9,371,0.9763157894736842,7,364,0.9811320754716981,371,381,0.5066489361702128,47,85,0.6439393939393939,48,125,0.7225433526011561,590,0,0.0,586,4,0.006779661016949152,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,162,590,0.7845744680851063
roberta_embeddings_token_type_ids,buffer,514,1,32,0,0,4.246094,0,1,0.0,509,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
roberta_embeddings_word_embeddings_weight,weight,38603520,18850,8,2,1,6.330709,18742,18850,0.9942705570291778,92,4554,0.9801980198019802,2229,105116,0.9792351763007127,2218,105695,0.9794464059010499,107959,107406,0.49871613307640517,14066,28562,0.670029088861781,13614,27472,0.6686462541985104,169012,8,4.733167672464797e-05,168738,282,0.0016684416045438409,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,46345,169020,0.7848071877974602
roberta_encoder_layer_0_attention_output_LayerNorm_bias,bias,768,1,12,2,3,14.353419,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
roberta_encoder_layer_0_attention_output_LayerNorm_weight,weight,768,1,8,1,0,6.4546,0,1,0.0,4,45,0.9183673469387755,13,265,0.9532374100719424,31,410,0.9297052154195011,442,278,0.3861111111111111,147,255,0.6343283582089553,106,169,0.6145454545454545,314,0,0.0,314,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,406,314,0.4361111111111111
roberta_encoder_layer_0_attention_output_dense_bias,bias,768,1,12,0,3,15.187744,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
roberta_encoder_layer_0_attention_output_dense_weight,weight,589824,288,8,0,0,6.010494,0,288,0.0,2692,33052,0.924686660698299,16334,260883,0.9410786495777675,16453,260410,0.940573496639132,276993,277352,0.5003238055723421,87503,152063,0.6347436614544635,88394,153539,0.6346343822463244,263549,12,4.5530256752706206e-05,263274,287,0.0010889319740022233,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,290784,263561,0.4754457963903345
roberta_encoder_layer_0_attention_self_key_bias,bias,768,1,12,0,2,14.321742,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
roberta_encoder_layer_0_attention_self_key_weight,weight,589824,288,8,0,1,8.548805,120,288,0.4166666666666667,162,7474,0.9787847040335254,3683,164435,0.9780927681747345,3628,164682,0.9784445368664964,168376,168215,0.49976083733670834,21702,43152,0.6653714497178277,21687,42306,0.6611035582016783,264330,0,0.0,263637,693,0.0026217228464419477,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,72261,264330,0.7853151153774165
roberta_encoder_layer_0_attention_self_query_bias,bias,768,1,12,1,3,16.024445,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
roberta_encoder_layer_0_attention_self_query_weight,weight,589824,288,8,0,1,8.457878,150,288,0.5208333333333334,123,5984,0.9798591779924677,2948,135541,0.9787131107885825,2902,135126,0.9789752803778944,138098,138553,0.5008223357226252,17253,34332,0.6655423088107008,17533,34752,0.6646648178253801,218482,0,0.0,217835,647,0.002961342353145797,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,58169,218482,0.7897386960466436
roberta_encoder_layer_0_attention_self_value_bias,bias,768,1,12,0,2,14.949203,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
roberta_encoder_layer_0_attention_self_value_weight,weight,589824,288,8,0,1,6.262676,152,288,0.5277777777777778,177,6969,0.9752308984047019,3406,132310,0.974903474903475,3428,132238,0.974732062565418,135729,135788,0.5001086488138864,19511,38358,0.6628419360970468,19787,38052,0.6578951918255848,205873,0,0.0,205444,429,0.0020838089501780226,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,65644,205873,0.7582324495335467
roberta_encoder_layer_0_intermediate_dense_bias,bias,3072,2,12,2,3,14.462399,2,2,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
roberta_encoder_layer_0_intermediate_dense_weight,weight,2359296,1152,8,0,1,6.407806,0,1152,0.0,2465,72404,0.9670758257756882,37394,1194156,0.9696366367585563,33894,1018983,0.9678082055168837,1053328,1232215,0.5391344638888876,199547,387472,0.6600672209928469,204690,402427,0.6628491707529192,1607799,2,1.2439350392243816e-06,1605840,1961,0.001219678305959506,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,677742,1607801,0.703465653457406
roberta_encoder_layer_0_output_LayerNorm_bias,bias,768,1,12,1,2,16.274582,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
roberta_encoder_layer_0_output_LayerNorm_weight,weight,768,1,8,1,1,6.517731,0,1,0.0,1,32,0.9696969696969697,10,352,0.9723756906077348,21,352,0.9436997319034852,374,362,0.49184782608695654,84,165,0.6626506024096386,97,206,0.6798679867986799,427,0,0.0,427,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,309,427,0.5801630434782609
roberta_encoder_layer_0_output_dense_bias,bias,768,1,12,1,3,14.788798,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
roberta_encoder_layer_0_output_dense_weight,weight,2359296,1152,8,2,1,6.108843,0,1152,0.0,6093,103484,0.9443952654297891,50908,1076727,0.9548541859732981,51469,1070615,0.9541308850317801,1122637,1128189,0.5012333250104628,283633,524127,0.6488647618104387,285332,527464,0.6489500440454924,1303730,3,2.3010846546033584e-06,1302977,756,0.0005798733329600463,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,947093,1303733,0.5792242492311711
roberta_encoder_layer_10_attention_output_LayerNorm_bias,bias,768,1,12,1,2,15.06133,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
roberta_encoder_layer_10_attention_output_LayerNorm_weight,weight,768,1,8,1,0,6.143489,0,1,0.0,2,37,0.9487179487179487,18,346,0.9505494505494505,18,347,0.9506849315068493,365,365,0.5,83,164,0.6639676113360324,112,199,0.639871382636656,414,0,0.0,414,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,316,414,0.5671232876712329
roberta_encoder_layer_10_attention_output_dense_bias,bias,768,1,12,1,3,15.141749,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
roberta_encoder_layer_10_attention_output_dense_weight,weight,589824,288,8,0,1,6.070908,0,288,0.0,1040,23238,0.957162863497817,11536,271094,0.9591833846371581,11427,271489,0.9596099195520932,283065,282756,0.4997269454474118,68152,128961,0.654249085549913,67808,128540,0.6546539817059507,340337,0,0.0,340202,135,0.0003966656578626479,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,225484,340337,0.601492344752139
roberta_encoder_layer_10_attention_self_key_bias,bias,768,1,12,0,2,8.184072,0,1,0.0,29,113,0.795774647887324,58,278,0.8273809523809523,55,235,0.8103448275862069,290,336,0.536741214057508,83,84,0.5029940119760479,109,76,0.41081081081081083,211,0,0.0,199,12,0.05687203791469194,198,13,0.061611374407582936,183,28,0.13270142180094788,0,0,0.0,0,0,0.0,415,211,0.33706070287539935
roberta_encoder_layer_10_attention_self_key_weight,weight,589824,288,8,1,1,7.075769,0,288,0.0,247,12337,0.9803719008264463,5980,282855,0.9792961379334222,6073,282332,0.9789428061233335,288542,288982,0.5003809365498231,35865,71816,0.6669328850957922,35992,71824,0.6661719967351785,456974,0,0.0,456207,767,0.0016784324709939733,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,120550,456974,0.7912640859946946
roberta_encoder_layer_10_attention_self_query_bias,bias,768,1,12,0,3,16.10734,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
roberta_encoder_layer_10_attention_self_query_weight,weight,589824,288,8,1,1,8.468143,234,288,0.8125,41,1998,0.9798921039725356,919,54195,0.9833254708422542,1026,52413,0.9808005389322405,53467,55139,0.5076975489383644,5717,11486,0.6676742428646166,5880,11968,0.6705513222770059,89088,2,2.2449208665394545e-05,88689,401,0.004501066337411606,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,19516,89090,0.8203045872235419
roberta_encoder_layer_10_attention_self_value_bias,bias,768,1,12,1,2,15.228907,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
roberta_encoder_layer_10_attention_self_value_weight,weight,589824,288,8,1,1,7.443115,108,288,0.375,168,7497,0.9780821917808219,3694,178873,0.9797663323601746,3626,174782,0.9796757992915116,178497,182655,0.5057565789473685,21642,42293,0.6614999608977868,21805,43275,0.6649508297480025,288732,0,0.0,287462,1270,0.004398542593131347,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,72420,288732,0.7994750132908027
roberta_encoder_layer_10_intermediate_dense_bias,bias,3072,2,12,2,3,15.107327,2,2,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
roberta_encoder_layer_10_intermediate_dense_weight,weight,2359296,1152,8,1,1,6.807365,2,1152,0.001736111111111111,1584,60037,0.9742944775320102,30337,1174400,0.97481857036017,28581,1060261,0.9737510125436014,1089331,1205367,0.5252835013583487,168937,333130,0.6635170206366879,172091,343796,0.6664172580429435,1723246,0,0.0,1722153,1093,0.000634268119583623,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,571452,1723246,0.7509685370362461
roberta_encoder_layer_10_output_LayerNorm_bias,bias,768,1,12,1,2,11.508774,0,1,0.0,0,7,1.0,3,389,0.9923469387755102,3,366,0.991869918699187,369,393,0.515748031496063,16,25,0.6097560975609756,18,25,0.5813953488372093,713,0,0.0,711,2,0.002805049088359046,704,9,0.012622720897615708,700,13,0.0182328190743338,0,0,0.0,0,0,0.0,49,713,0.9356955380577427
