tensor_name,tensor_type,chunks,used_chunks,skipped_chunks,pred_none,pred_mean,pred_neighbor,pred_none_pct,pred_mean_pct,pred_neighbor_pct,skip_pct
classifier_0_bias,bias,2,0,2,0,0,0,0,0,0,1.0
classifier_0_weight,weight,50176,25762,24414,1201,737,23824,0.04661905131589162,0.02860802732707088,0.9247729213570375,0.4865672831632653
classifier_3_bias,bias,2,0,2,0,0,0,0,0,0,1.0
classifier_3_weight,weight,8192,235,7957,185,49,1,0.7872340425531915,0.20851063829787234,0.00425531914893617,0.9713134765625
classifier_6_bias,bias,0,0,0,0,0,0,0,0,0,0
classifier_6_weight,weight,2000,20,1980,3,17,0,0.15,0.85,0.0,0.99
features_0_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_0_weight,weight,1,0,1,0,0,0,0,0,0,1.0
features_10_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_10_weight,weight,144,144,0,69,0,75,0.4791666666666667,0.0,0.5208333333333334,0.0
features_12_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_12_weight,weight,288,288,0,240,35,13,0.8333333333333334,0.12152777777777778,0.04513888888888889,0.0
features_14_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_14_weight,weight,288,288,0,246,34,8,0.8541666666666666,0.11805555555555555,0.027777777777777776,0.0
features_16_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_16_weight,weight,288,288,0,232,47,9,0.8055555555555556,0.16319444444444445,0.03125,0.0
features_19_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_19_weight,weight,576,576,0,485,38,53,0.8420138888888888,0.06597222222222222,0.0920138888888889,0.0
features_21_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_21_weight,weight,1152,1152,0,725,226,201,0.6293402777777778,0.19618055555555555,0.17447916666666666,0.0
features_23_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_23_weight,weight,1152,1152,0,356,241,555,0.3090277777777778,0.2092013888888889,0.4817708333333333,0.0
features_25_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_25_weight,weight,1152,1152,0,262,293,597,0.22743055555555555,0.2543402777777778,0.5182291666666666,0.0
features_28_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_28_weight,weight,1152,1152,0,250,150,752,0.2170138888888889,0.13020833333333334,0.6527777777777778,0.0
features_2_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_2_weight,weight,18,18,0,16,0,2,0.8888888888888888,0.0,0.1111111111111111,0.0
features_30_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_30_weight,weight,1152,1102,50,41,44,1017,0.03720508166969147,0.039927404718693285,0.9228675136116152,0.043402777777777776
features_32_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_32_weight,weight,1152,1106,46,5,5,1096,0.0045207956600361665,0.0045207956600361665,0.9909584086799277,0.03993055555555555
features_34_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_34_weight,weight,1152,1150,2,8,6,1136,0.006956521739130435,0.0052173913043478265,0.9878260869565217,0.001736111111111111
features_5_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_5_weight,weight,36,36,0,33,1,2,0.9166666666666666,0.027777777777777776,0.05555555555555555,0.0
features_7_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_7_weight,weight,72,72,0,64,3,5,0.8888888888888888,0.041666666666666664,0.06944444444444445,0.0
