tensor_name,tensor_type,chunks,used_chunks,skipped_chunks,pred_none,pred_mean,pred_neighbor,pred_none_pct,pred_mean_pct,pred_neighbor_pct,skip_pct
class_token,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
conv_proj_bias,bias,1,0,1,0,0,0,0,0,0,1.0
conv_proj_weight,weight,288,288,0,189,0,99,0.65625,0.0,0.34375,0.0
encoder_layers_encoder_layer_0_ln_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
encoder_layers_encoder_layer_0_ln_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
encoder_layers_encoder_layer_0_ln_2_bias,bias,1,0,1,0,0,0,0,0,0,1.0
encoder_layers_encoder_layer_0_ln_2_weight,weight,1,0,1,0,0,0,0,0,0,1.0
encoder_layers_encoder_layer_0_mlp_0_bias,bias,2,0,2,0,0,0,0,0,0,1.0
encoder_layers_encoder_layer_0_mlp_0_weight,weight,1152,1152,0,1103,6,43,0.9574652777777778,0.005208333333333333,0.03732638888888889,0.0
encoder_layers_encoder_layer_0_mlp_3_bias,bias,1,0,1,0,0,0,0,0,0,1.0
encoder_layers_encoder_layer_0_mlp_3_weight,weight,1152,1152,0,996,0,156,0.8645833333333334,0.0,0.13541666666666666,0.0
encoder_layers_encoder_layer_0_self_attention_in_proj_bias,bias,2,2,0,1,0,1,0.5,0.0,0.5,0.0
encoder_layers_encoder_layer_0_self_attention_in_proj_weight,weight,864,864,0,687,16,161,0.7951388888888888,0.018518518518518517,0.1863425925925926,0.0
encoder_layers_encoder_layer_0_self_attention_out_proj_bias,bias,1,0,1,0,0,0,0,0,0,1.0
encoder_layers_encoder_layer_0_self_attention_out_proj_weight,weight,288,288,0,208,0,80,0.7222222222222222,0.0,0.2777777777777778,0.0
encoder_layers_encoder_layer_10_ln_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
encoder_layers_encoder_layer_10_ln_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
