tensor_type,predictor,residual_level,count,probability,cumulative_probability
weight,NONE,0,4147629,0.09584051469758412,0.09584051469758412
weight,NONE,1,3253637,0.07518277182436121,0.17102328652194532
weight,NONE,2,2831169,0.06542067628417211,0.23644396280611746
weight,NONE,3,2558133,0.05911155105359591,0.29555551385971335
weight,NONE,4,2354066,0.05439611331488015,0.3499516271745935
weight,NONE,5,2170055,0.050144115619325136,0.40009574279391863
weight,NONE,6,2007379,0.046385112205822095,0.4464808549997407
weight,NONE,7,1854680,0.04285665034151206,0.4893375053412528
weight,NONE,8,1716735,0.03966911360667916,0.529006618947932
weight,NONE,9,1583770,0.03659665123437819,0.5656032701823102
weight,NONE,10,1462794,0.03380122230231727,0.5994044924846275
weight,NONE,11,1348625,0.031163084773018362,0.6305675772576458
weight,NONE,12,1247868,0.028834862374297433,0.6594024396319432
weight,NONE,13,1149456,0.026560826598094053,0.6859632662300372
weight,NONE,14,1063697,0.024579167510468302,0.7105424337405055
weight,NONE,15,979819,0.022640973257365152,0.7331834069978707
weight,NONE,16,907007,0.020958484405020718,0.7541418914028915
weight,NONE,17,837113,0.01934342265907552,0.773485314061967
weight,NONE,18,774069,0.01788664592986601,0.791371959991833
weight,NONE,19,713816,0.01649436167973816,0.8078663216715711
weight,NONE,20,660017,0.015251211954867557,0.8231175336264387
weight,NONE,21,608308,0.014056356490577628,0.8371738901170163
weight,NONE,22,562906,0.013007238778193103,0.8501811288952094
weight,NONE,23,520342,0.012023699588070754,0.8622048284832802
weight,NONE,24,479275,0.011074752028613124,0.8732795805118932
weight,NONE,25,442916,0.01023459364562143,0.8835141741575148
weight,NONE,26,408138,0.009430967906638367,0.8929451420641531
weight,NONE,27,376641,0.008703157224576446,0.9016482992887295
weight,NONE,28,346967,0.00801747115353776,0.9096657704422673
weight,NONE,29,319485,0.007382436287854497,0.9170482067301218
weight,NONE,30,294850,0.006813187910148829,0.9238613946402706
weight,NONE,31,271309,0.006269218920517444,0.9301306135607881
weight,NONE,32,250352,0.005784959198513073,0.9359155727593012
weight,NONE,33,230385,0.005323575705204809,0.941239148464506
weight,NONE,34,212785,0.004916887195051784,0.9461560356595577
weight,NONE,35,195456,0.004516460763663047,0.9506724964232207
weight,NONE,36,178955,0.004135167178092873,0.9548076636013136
weight,NONE,37,164811,0.003808337502660806,0.9586160011039745
weight,NONE,38,151604,0.0035031593689340444,0.9621191604729085
weight,NONE,39,139900,0.003232711509682283,0.9653518719825908
weight,NONE,40,127787,0.0029528127640298064,0.9683046847466206
weight,NONE,41,116849,0.0027000650978903865,0.971004749844511
weight,NONE,42,107082,0.002474376082057171,0.9734791259265682
weight,NONE,43,98292,0.002271262899997791,0.975750388826566
weight,NONE,44,90840,0.002099067287630726,0.9778494561141966
weight,NONE,45,82584,0.0019082934046862163,0.9797577495188828
weight,NONE,46,75767,0.001750770928907059,0.9815085204477899
weight,NONE,47,69334,0.0016021216569857856,0.9831106421047757
weight,NONE,48,63663,0.0014710801489700013,0.9845817222537457
weight,NONE,49,57990,0.0013399924263507905,0.9859217146800965
weight,NONE,50,53377,0.0012333984435476141,0.9871551131236441
weight,NONE,51,48314,0.0011164061749734798,0.9882715192986176
weight,NONE,52,44271,0.0010229833541468502,0.9892945026527644
weight,NONE,53,40477,0.0009353142514468175,0.9902298169042113
weight,NONE,54,37193,0.0008594298726205371,0.9910892467768319
weight,NONE,55,34087,0.0007876585934992135,0.991876905370331
weight,NONE,56,30796,0.0007116124635609405,0.992588517833892
weight,NONE,57,28084,0.0006489454613146336,0.9932374632952066
weight,NONE,58,25574,0.000590946134014401,0.993828409429221
weight,NONE,59,23379,0.0005402256067538391,0.9943686350359748
weight,NONE,60,21247,0.0004909608395012113,0.994859595875476
weight,NONE,61,19378,0.0004477732925991657,0.9953073691680752
weight,NONE,62,17700,0.00040899924032434886,0.9957163684083996
weight,NONE,63,16305,0.000376764554434379,0.996093132962834
weight,NONE,64,14733,0.00034043987614116564,0.9964335728389752
weight,NONE,65,13561,0.0003133581185332483,0.9967469309575083
weight,NONE,66,12237,0.0002827640510649185,0.9970296950085733
weight,NONE,67,11258,0.00026014200268765646,0.997289837011261
weight,NONE,68,10094,0.00023324510349344505,0.9975230821147544
weight,NONE,69,9323,0.000215429373872537,0.9977385114886269
weight,NONE,70,8463,0.00019555709439915054,0.997934068583026
weight,NONE,71,7822,0.00018074531400096366,0.998114813897027
weight,NONE,72,7021,0.0001622363653286584,0.9982770502623557
weight,NONE,73,6388,0.00014760944334417744,0.9984246597056998
weight,NONE,74,5823,0.00013455381787619682,0.998559213523576
weight,NONE,75,5275,0.00012189101653734126,0.9986811045401134
weight,NONE,76,4822,0.00011142340886124352,0.9987925279489747
weight,NONE,77,4342,0.00010033190403888829,0.9988928598530136
weight,NONE,78,4140,9.566422909281381e-05,0.9989885240821064
weight,NONE,79,3707,8.565876745098087e-05,0.9990741828495573
weight,NONE,80,3428,7.921183027298689e-05,0.9991533946798303
weight,NONE,81,3035,7.013066069968356e-05,0.99922352534053
weight,NONE,82,2816,6.507016162448398e-05,0.9992885955021544
weight,NONE,83,2533,5.8530795239637044e-05,0.9993471262973941
