tensor_type,predictor,residual_level,count,probability,cumulative_probability
weight,NONE,0,5275686,0.07132930476342626,0.07132930476342626
weight,NONE,1,5147088,0.0695906103199042,0.14091991508333046
weight,NONE,2,4988967,0.06745275355615865,0.2083726686394891
weight,NONE,3,4796880,0.06485566340255734,0.27322833204204644
weight,NONE,4,4597322,0.06215756245417266,0.3353858944962191
weight,NONE,5,4352564,0.05884834011317536,0.39423423460939444
weight,NONE,6,4082319,0.05519452372497634,0.4494287583343708
weight,NONE,7,3810308,0.05151683033723409,0.5009455886716049
weight,NONE,8,3542567,0.047896868992555026,0.54884245766416
weight,NONE,9,3267413,0.04417668103541054,0.5930191386995705
weight,NONE,10,3002727,0.040598024466272,0.6336171631658425
weight,NONE,11,2749657,0.03717642068688098,0.6707935838527235
weight,NONE,12,2506488,0.03388868223731866,0.704682266090042
weight,NONE,13,2272350,0.03072304638281574,0.7354053124728578
weight,NONE,14,2054937,0.02778353896396428,0.7631888514368221
weight,NONE,15,1856655,0.025102690026574587,0.7882915414633967
weight,NONE,16,1672917,0.022618481565604313,0.8109100230290011
weight,NONE,17,1496276,0.020230227275505098,0.8311402503045061
weight,NONE,18,1343963,0.018170896906633306,0.8493111472111394
weight,NONE,19,1199298,0.016214970440653138,0.8655261176517925
weight,NONE,20,1073621,0.014515769041109433,0.880041886692902
weight,NONE,21,957224,0.012942036812438409,0.8929839235053404
weight,NONE,22,852474,0.01152577650544347,0.9045097000107839
weight,NONE,23,758122,0.010250101159519015,0.9147598011703029
weight,NONE,24,675310,0.009130451054097872,0.9238902522244008
weight,NONE,25,599920,0.008111149244605285,0.932001401469006
weight,NONE,26,534981,0.007233148976577178,0.9392345504455832
weight,NONE,27,476051,0.006436392700766087,0.9456709431463493
weight,NONE,28,422452,0.0057117135962828245,0.9513826567426321
weight,NONE,29,376843,0.0050950623662901545,0.9564777191089223
weight,NONE,30,334579,0.004523636823427777,0.96100135593235
weight,NONE,31,296879,0.004013918316757522,0.9650152742491076
weight,NONE,32,265637,0.003591514455076034,0.9686067887041836
weight,NONE,33,235349,0.0031820090404864137,0.97178879774467
weight,NONE,34,210667,0.0028482989030425084,0.9746370966477125
weight,NONE,35,187385,0.0025335173043078436,0.9771706139520204
weight,NONE,36,167297,0.0022619198145998306,0.9794325337666202
weight,NONE,37,148802,0.002011860297865975,0.9814443940644861
weight,NONE,38,133285,0.0018020644870436315,0.9832464585515298
weight,NONE,39,118479,0.0016018816698086238,0.9848483402213384
weight,NONE,40,105653,0.0014284692144623987,0.9862768094358009
weight,NONE,41,94705,0.00128044804175614,0.987557257477557
weight,NONE,42,84994,0.0011491515850379744,0.988706409062595
weight,NONE,43,76244,0.001030848218105223,0.9897372572807002
weight,NONE,44,68338,0.000923956055937185,0.9906612133366374
weight,NONE,45,60659,0.0008201330211170023,0.9914813463577543
weight,NONE,46,55031,0.0007440402955058565,0.9922253866532602
weight,NONE,47,48781,0.0006595378905538912,0.992884924543814
weight,NONE,48,44320,0.0005992234539953764,0.9934841479978095
weight,NONE,49,39704,0.000536813357794053,0.9940209613556036
weight,NONE,50,35818,0.000484273142491119,0.9945052344980947
weight,NONE,51,32156,0.00043476149338166347,0.9949399959914763
weight,NONE,52,29202,0.0003948222767051666,0.9953348182681815
weight,NONE,53,26601,0.0003596557558603567,0.9956944740240419
weight,NONE,54,24030,0.00032489484655931624,0.9960193688706012
weight,NONE,55,21651,0.0002927298511384002,0.9963120987217395
weight,NONE,56,19449,0.00026295796382572374,0.9965750566855652
weight,NONE,57,17924,0.00024233937701744423,0.9968173960625827
weight,NONE,58,16494,0.00022300522676443457,0.9970404012893471
weight,NONE,59,14689,0.00019860093221430697,0.9972390022215615
weight,NONE,60,13433,0.00018161932891516003,0.9974206215504766
weight,NONE,61,12211,0.00016509741869895177,0.9975857189691756
weight,NONE,62,11143,0.00015065764774075993,0.9977363766169164
weight,NONE,63,10180,0.00013763751718576112,0.9978740141341021
weight,NONE,64,9439,0.0001276189120546561,0.9980016330461567
weight,NONE,65,8736,0.00011811408154565905,0.9981197471277025
weight,NONE,66,7801,0.00010547252176484503,0.9982252196494673
weight,NONE,67,7423,0.00010036181631335016,0.9983255814657807
weight,NONE,68,6679,9.030265002786822e-05,0.9984158841158085
weight,NONE,69,6481,8.762561383898996e-05,0.9985035097296475
weight,NONE,70,5753,7.778277371018504e-05,0.9985812925033577
weight,NONE,71,5410,7.314528172642118e-05,0.9986544377850841
weight,NONE,72,4969,6.71827920330105e-05,0.9987216205771171
weight,NONE,73,4636,6.268050389716979e-05,0.9987843010810142
weight,NONE,74,4335,5.861086807468314e-05,0.9988429119490889
weight,NONE,75,3936,5.321623454254968e-05,0.9988961281836315
weight,NONE,76,3632,4.910603756568608e-05,0.9989452342211972
weight,NONE,77,3396,4.591522675469987e-05,0.9989911494479519
weight,NONE,78,3266,4.4157576731698996e-05,0.9990353070246836
weight,NONE,79,3213,4.344099633770633e-05,0.9990787480210213
weight,NONE,80,2997,4.052059322256641e-05,0.9991192686142438
weight,NONE,81,2729,3.689713009822613e-05,0.9991561657443421
weight,NONE,82,2515,3.4003767752670845e-05,0.9991901695120947
weight,NONE,83,2439,3.2976218508454946e-05,0.9992231457306032
weight,NONE,84,2377,3.213795465133145e-05,0.9992552836852545
weight,NONE,85,2068,2.7960155750506283e-05,0.9992832438410051
weight,NONE,86,2060,2.7851992672167768e-05,0.9993110958336772
weight,NONE,87,1924,2.6013220340413002e-05,0.9993371090540176
weight,NONE,88,1805,2.4404294550127584e-05,0.9993615133485677
weight,NONE,89,1724,2.330914338195011e-05,0.9993848224919497
weight,NONE,90,1654,2.23627164464881e-05,0.9994071852083962
weight,NONE,91,1577,2.1321646817479888e-05,0.9994285068552137
weight,NONE,92,1494,2.019945487971779e-05,0.9994487063100934
weight,NONE,93,1456,1.968568025760984e-05,0.999468391990351
weight,NONE,94,1359,1.8374202932755338e-05,0.9994867661932837
weight,NONE,95,1261,1.7049205223108522e-05,0.9995038153985069
weight,NONE,96,1252,1.6927521759977694e-05,0.9995207429202668
weight,NONE,97,1174,1.5872931746177164e-05,0.999536615852013
weight,NONE,98,1167,1.5778289052630966e-05,0.9995523941410657
weight,NONE,99,1082,1.4629056345284236e-05,0.999567023197411
weight,NONE,100,1077,1.4561454421322664e-05,0.9995815846518322
weight,NONE,101,1011,1.366910902502991e-05,0.9995952537608572
weight,NONE,102,1000,1.3520384792314451e-05,0.9996087741456496
weight,NONE,103,875,1.1830336693275145e-05,0.9996206044823429
weight,NONE,104,887,1.1992581310782918e-05,0.9996325970636536
weight,NONE,105,887,1.1992581310782918e-05,0.9996445896449644
weight,NONE,106,782,1.05729409075899e-05,0.9996551625858721
weight,NONE,107,800,1.081630783385156e-05,0.9996659788937059
weight,NONE,108,824,1.1140797068867108e-05,0.9996771196907748
weight,NONE,109,774,1.0464777829251385e-05,0.999687584468604
weight,NONE,110,661,8.936974347719852e-06,0.9996965214429517
weight,NONE,111,710,9.59947320254326e-06,0.9997061209161543
weight,NONE,112,671,9.072178195642997e-06,0.9997151930943499
weight,NONE,113,626,8.463760879988847e-06,0.9997236568552299
weight,NONE,114,644,8.707127806250507e-06,0.9997323639830361
weight,NONE,115,592,8.004067797050155e-06,0.9997403680508332
weight,NONE,116,575,7.77422125558081e-06,0.9997481422720887
weight,NONE,117,576,7.787741640373124e-06,0.9997559300137291
