tensor_type,predictor,residual_level,count,probability,cumulative_probability
weight,NONE,0,1580147,0.0934940855995996,0.0934940855995996
weight,NONE,1,1533793,0.09075141365586029,0.18424549925545988
weight,NONE,2,1458077,0.08627145186416668,0.2705169511196266
weight,NONE,3,1360925,0.0805231655312038,0.35104011665083035
weight,NONE,4,1264508,0.07481836765400846,0.4258584843048388
weight,NONE,5,1146722,0.06784920948933489,0.4937076937941737
weight,NONE,6,1030288,0.06096004641608677,0.5546677402102604
weight,NONE,7,915894,0.054191585995581215,0.6088593262058417
weight,NONE,8,811431,0.048010722655657166,0.6568700488614988
weight,NONE,9,712688,0.042168300087148496,0.6990383489486474
weight,NONE,10,622270,0.0368184508441701,0.7358567997928175
weight,NONE,11,543209,0.03214057220275892,0.7679973719955764
weight,NONE,12,471330,0.027887637900561958,0.7958850098961383
weight,NONE,13,409097,0.024205437808342768,0.8200904477044811
weight,NONE,14,356177,0.02107426899308013,0.8411647166975612
weight,NONE,15,309941,0.018338578869450436,0.8595032955670117
weight,NONE,16,270449,0.01600191751547553,0.8755052130824872
weight,NONE,17,235252,0.013919382579897317,0.8894245956623845
weight,NONE,18,206049,0.01219150043870089,0.9016160961010854
weight,NONE,19,180203,0.010662245162826399,0.9122783412639118
weight,NONE,20,158613,0.009384808754634405,0.9216631500185462
weight,NONE,21,139436,0.008250144650887399,0.9299132946694336
weight,NONE,22,123369,0.007299492924605751,0.9372127875940394
weight,NONE,23,108775,0.006435995613760268,0.9436487832077997
weight,NONE,24,96161,0.0056896508776354965,0.9493384340854352
weight,NONE,25,85361,0.005050636833704346,0.9543890709191395
weight,NONE,26,75692,0.004478541760484875,0.9588676126796243
weight,NONE,27,67597,0.0039995770673716645,0.962867189746996
weight,NONE,28,59925,0.003545640424312425,0.9664128301713084
weight,NONE,29,52895,0.003129689616086871,0.9695425197873953
weight,NONE,30,47898,0.0028340272848346526,0.97237654707223
weight,NONE,31,42889,0.002537654937978066,0.9749142020102081
weight,NONE,32,38755,0.002293054562273309,0.9772072565724813
weight,NONE,33,34544,0.002043898253107191,0.9792511548255886
weight,NONE,34,30999,0.0018341478099834939,0.981085302635572
weight,NONE,35,27761,0.00164256193273821,0.9827278645683102
weight,NONE,36,25228,0.001492689472249543,0.9842205540405597
weight,NONE,37,22585,0.0013363085353875032,0.9855568625759472
weight,NONE,38,20478,0.001211641628853898,0.9867685042048011
weight,NONE,39,18836,0.001114487826989551,0.9878829920317908
weight,NONE,40,16762,0.0009917734633679578,0.9888747654951586
weight,NONE,41,15185,0.0008984655793606037,0.9897732310745193
weight,NONE,42,13802,0.0008166362809571981,0.9905898673554765
weight,NONE,43,12652,0.0007485931188719367,0.9913384604743484
weight,NONE,44,11624,0.0006877684487644161,0.9920262289231129
weight,NONE,45,10689,0.000632446399590747,0.9926586753227036
weight,NONE,46,9566,0.0005660007726153135,0.9932246760953188
weight,NONE,47,8946,0.000529316633056303,0.9937539927283752
weight,NONE,48,8116,0.00048020722042085346,0.994234199948796
weight,NONE,49,7603,0.0004498540533341238,0.9946840540021301
weight,NONE,50,6781,0.0004012179844349196,0.995085271986565
weight,NONE,51,6466,0.00038258007482026103,0.9954678520613853
weight,NONE,52,5859,0.00034666511883264914,0.995814517180218
weight,NONE,53,5303,0.00031376772916360103,0.9961282849093815
weight,NONE,54,5042,0.00029832488976859825,0.9964266097991502
weight,NONE,55,4642,0.00027465770295633337,0.9967012675021065
weight,NONE,56,4262,0.0002521738754846818,0.9969534413775912
weight,NONE,57,3870,0.00022898003240866225,0.9971824214099999
weight,NONE,58,3680,0.00021773811867283646,0.9974001595286727
weight,NONE,59,3398,0.00020105275197018977,0.9976012122806429
weight,NONE,60,3024,0.00017892393230072213,0.9977801362129436
weight,NONE,61,2715,0.00016064103048824756,0.9979407772434319
weight,NONE,62,2559,0.00015141082763146427,0.9980921880710634
weight,NONE,63,2337,0.00013827553895065728,0.998230463610014
weight,NONE,64,2168,0.0001282761525224754,0.9983587397625364
weight,NONE,65,2010,0.00011892761373163079,0.9984776673762681
weight,NONE,66,1860,0.00011005241867703148,0.9985877197949451
weight,NONE,67,1751,0.00010360311027068931,0.9986913229052158
weight,NONE,68,1581,9.354455587547675e-05,0.9987848674610913
weight,NONE,69,1515,8.963947005145306e-05,0.9988745069311428
weight,NONE,70,1374,8.12967867001297e-05,0.9989558037178429
weight,NONE,71,1345,7.958091565624051e-05,0.9990353846334992
weight,NONE,72,1188,7.029154483242655e-05,0.9991056761783316
weight,NONE,73,1151,6.810233005229206e-05,0.9991737785083838
weight,NONE,74,988,5.845795142629414e-05,0.9992322364598101
weight,NONE,75,970,5.739292801974222e-05,0.9992896293878298
weight,NONE,76,866,5.123945944855336e-05,0.9993408688472785
weight,NONE,77,748,4.425763933893524e-05,0.9993851264866174
weight,NONE,78,742,4.390263153675127e-05,0.9994290291181541
weight,NONE,79,636,3.763082703150109e-05,0.9994666599451856
weight,NONE,80,649,3.8400010602899694e-05,0.9995050599557885
weight,NONE,81,586,3.4672428679967984e-05,0.9995397323844685
weight,NONE,82,512,3.0293999119698985e-05,0.9995700263835882
weight,NONE,83,527,3.1181518625158917e-05,0.9996012079022133
weight,NONE,84,445,2.6329745328644626e-05,0.999627537647542
weight,NONE,85,453,2.6803089064889924e-05,0.9996543407366069
weight,NONE,86,399,2.3608018845234172e-05,0.9996779487554521
weight,NONE,87,355,2.100462829588504e-05,0.999698953383748
weight,NONE,88,337,1.993960488933312e-05,0.9997188929886374
weight,NONE,89,308,1.822373384544392e-05,0.9997371167224828
weight,NONE,90,312,1.846040571356657e-05,0.9997555771281963
weight,NONE,91,295,1.7454550274045313e-05,0.9997730316784704
weight,NONE,92,234,1.3845304285174928e-05,0.9997868769827556
weight,NONE,93,249,1.4732823790634858e-05,0.9998016098065462
weight,NONE,94,207,1.2247769175347052e-05,0.9998138575757215
weight,NONE,95,220,1.3016952746745659e-05,0.9998268745284683
weight,NONE,96,177,1.0472730164427189e-05,0.9998373472586327
weight,NONE,97,157,9.289370823813947e-06,0.9998466366294565
weight,NONE,98,157,9.289370823813947e-06,0.9998559260002804
weight,NONE,99,135,7.987675549139381e-06,0.9998639136758295
weight,NONE,100,173,1.0236058296304541e-05,0.9998741497341258
weight,NONE,101,137,8.106011483200706e-06,0.999882255745609
weight,NONE,102,138,8.165179450231368e-06,0.9998904209250592
weight,NONE,103,125,7.39599587883276e-06,0.999897816920938
weight,NONE,104,106,6.271804505250181e-06,0.9999040887254433
weight,NONE,105,87,5.147613131667601e-06,0.999909236338575
