tensor_type,predictor,residual_level,count,probability,cumulative_probability
weight,NONE,0,214374,0.06440241490279584,0.06440241490279584
weight,NONE,1,204213,0.06134983885426706,0.1257522537570629
weight,NONE,2,192190,0.057737879221213075,0.18349013297827596
weight,NONE,3,181112,0.054409817272034665,0.23789995025031063
weight,NONE,4,170611,0.05125509814147658,0.28915504839178724
weight,NONE,5,159330,0.04786605076391009,0.3370210991556973
weight,NONE,6,150339,0.04516496708589392,0.38218606624159124
weight,NONE,7,140693,0.04226710776455659,0.4244531740061478
weight,NONE,8,132410,0.03977872203382498,0.4642318960399728
weight,NONE,9,123040,0.03696377886142909,0.5011956749014019
weight,NONE,10,115758,0.03477611438102494,0.5359717892824268
weight,NONE,11,107505,0.03229674127517827,0.5682685305576051
weight,NONE,12,100816,0.03028722634666641,0.5985557569042715
weight,NONE,13,94648,0.02843423067032299,0.6269899875745945
weight,NONE,14,87939,0.02641870732522117,0.6534086948998157
weight,NONE,15,82320,0.02473064268427213,0.6781393375840878
weight,NONE,16,77066,0.023152231646089844,0.7012915692301777
weight,NONE,17,71698,0.02153957263334479,0.7228311418635224
weight,NONE,18,66598,0.02000742640290519,0.7428385682664276
weight,NONE,19,62664,0.01882557085966021,0.7616641391260878
weight,NONE,20,57947,0.017408485806918332,0.7790726249330061
weight,NONE,21,54403,0.01634379438717756,0.7954164193201837
weight,NONE,22,50810,0.015264382346791385,0.8106808016669751
weight,NONE,23,47332,0.014219518701797478,0.8249003203687726
weight,NONE,24,44157,0.013265682568141453,0.838166002936914
weight,NONE,25,40959,0.012304936755406974,0.850470939692321
weight,NONE,26,38179,0.011469766849402643,0.8619407065417236
weight,NONE,27,35819,0.010760773691787457,0.8727014802335111
weight,NONE,28,33404,0.01003525738854988,0.882736737622061
weight,NONE,29,30759,0.009240644294527775,0.8919773819165887
weight,NONE,30,28471,0.00855328143663644,0.9005306633532252
weight,NONE,31,26615,0.007995700377088225,0.9085263637303134
