tensor_type,predictor,residual_level,count,probability,cumulative_probability
weight,NONE,0,2203556,0.21442876742548292,0.21442876742548292
weight,NONE,1,1911011,0.18596111615340818,0.4003898835788911
weight,NONE,2,1553867,0.1512073147009347,0.5515971982798258
weight,NONE,3,1206883,0.11744218622842764,0.6690393845082534
weight,NONE,4,912318,0.0887779680843517,0.7578173525926052
weight,NONE,5,661709,0.06439112292328802,0.8222084755158932
weight,NONE,6,477132,0.04642987364934475,0.8686383491652379
weight,NONE,7,339303,0.03301768780723913,0.9016560369724771
weight,NONE,8,243316,0.023677160904873214,0.9253331978773502
weight,NONE,9,175103,0.017039331182191118,0.9423725290595414
weight,NONE,10,128005,0.012456209133917604,0.9548287381934589
weight,NONE,11,93661,0.009114183068566515,0.9639429212620255
weight,NONE,12,70501,0.006860475763839889,0.9708033970258654
weight,NONE,13,53224,0.005179245146233589,0.975982642172099
weight,NONE,14,40981,0.0039878747433075065,0.9799705169154065
weight,NONE,15,32138,0.0031273594714725517,0.9830978763868791
weight,NONE,16,25482,0.0024796618971953312,0.9855775382840744
weight,NONE,17,20685,0.0020128642313588193,0.9875904025154332
weight,NONE,18,16756,0.0016305319342832184,0.9892209344497164
weight,NONE,19,14050,0.00136721017406775,0.9905881446237842
weight,NONE,20,11636,0.001132303030993049,0.9917204476547772
weight,NONE,21,9958,0.00096901629276631,0.9926894639475435
weight,NONE,22,8456,0.0008228561730901704,0.9935123201206336
weight,NONE,23,7248,0.000705305291220146,0.9942176254118538
weight,NONE,24,6356,0.0006185044744750619,0.9948361298863289
weight,NONE,25,5607,0.0005456190353023398,0.9953817489216312
weight,NONE,26,5002,0.0004867462840346538,0.9958684952056659
weight,NONE,27,4221,0.00041074691421636816,0.9962792421198823
weight,NONE,28,3799,0.00036968195382799875,0.9966489240737102
weight,NONE,29,3351,0.0003260869247901089,0.9969750109985004
weight,NONE,30,2905,0.0002826865164175668,0.9972576975149179
weight,NONE,31,2675,0.00026030513990257873,0.9975180026548205
weight,NONE,32,2346,0.0002282900404528784,0.9977462926952734
weight,NONE,33,2069,0.00020133507830221884,0.9979476277735756
weight,NONE,34,1933,0.00018810087305857372,0.9981357286466341
weight,NONE,35,1726,0.00016795763419508443,0.9983036862808292
weight,NONE,36,1636,0.00015919970425443694,0.9984628859850837
weight,NONE,37,1417,0.00013788874139886132,0.9986007747264826
weight,NONE,38,1231,0.00011978901952152315,0.998720563746004
weight,NONE,39,1183,0.00011511812355317781,0.9988356818695573
weight,NONE,40,1009,9.818612566792596e-05,0.9989338679952252
weight,NONE,41,964,9.38071606976022e-05,0.9990276751559228
weight,NONE,42,904,8.796854073717053e-05,0.99911564369666
weight,NONE,43,803,7.814019713711054e-05,0.9991937838937971
weight,NONE,44,758,7.37612321667868e-05,0.9992675451259638
weight,NONE,45,695,6.763068120833354e-05,0.9993351758071721
weight,NONE,46,577,5.6148061952817915e-05,0.999391323869125
weight,NONE,47,542,5.2742200309232774e-05,0.9994440660694343
weight,NONE,48,485,4.7195511346822684e-05,0.999491261580781
weight,NONE,49,447,4.349771870521596e-05,0.9995347592994863
weight,NONE,50,386,3.756178841211043e-05,0.9995723210878984
weight,NONE,51,383,3.7269857414088844e-05,0.9996095909453124
weight,NONE,52,334,3.250165111306964e-05,0.9996420925964256
weight,NONE,53,311,3.0263513461570836e-05,0.9996723561098871
weight,NONE,54,264,2.568992782589936e-05,0.9996980460377131
weight,NONE,55,250,2.4327583168465303e-05,0.9997223736208815
weight,NONE,56,239,2.325716950905283e-05,0.9997456307903905
weight,NONE,57,229,2.2284066182314216e-05,0.9997679148565728
weight,NONE,58,207,2.014323886348927e-05,0.9997880580954364
weight,NONE,59,191,1.858627354070749e-05,0.999806644368977
weight,NONE,60,156,1.5180411897122349e-05,0.9998218247808741
weight,NONE,61,162,1.5764273893165516e-05,0.9998375890547673
weight,NONE,62,143,1.3915377572362152e-05,0.9998515044323397
weight,NONE,63,129,1.2553032914928095e-05,0.9998640574652546
weight,NONE,64,102,9.925653932733844e-06,0.9998739831191874
weight,NONE,65,100,9.73103326738612e-06,0.9998837141524547
weight,NONE,66,96,9.341791936690676e-06,0.9998930559443914
weight,NONE,67,89,8.660619607973648e-06,0.9999017165639994
weight,NONE,68,78,7.590205948561174e-06,0.9999093067699479
weight,NONE,69,59,5.7413096277578114e-06,0.9999150480795758
weight,NONE,70,62,6.033240625779395e-06,0.9999210813202015
weight,NONE,71,54,5.254757964388506e-06,0.9999263360781658
weight,NONE,72,63,6.130550958453256e-06,0.9999324666291244
weight,NONE,73,64,6.227861291127117e-06,0.9999386944904155
weight,NONE,74,43,4.184344304976032e-06,0.9999428788347204
weight,NONE,75,36,3.5031719762590034e-06,0.9999463820066967
weight,NONE,76,50,4.86551663369306e-06,0.9999512475233304
weight,NONE,77,34,3.308551310911281e-06,0.9999545560746413
weight,NONE,78,36,3.5031719762590034e-06,0.9999580592466175
weight,NONE,79,39,3.795102974280587e-06,0.9999618543495918
weight,NONE,80,33,3.21124097823742e-06,0.9999650655905701
weight,NONE,81,21,2.0435169861510853e-06,0.9999671091075563
weight,NONE,82,25,2.43275831684653e-06,0.9999695418658731
weight,NONE,83,15,1.459654990107918e-06,0.9999710015208632
weight,NONE,84,18,1.7515859881295017e-06,0.9999727531068513
weight,NONE,85,11,1.0704136594124733e-06,0.9999738235205108
weight,NONE,86,23,2.2381376514988076e-06,0.9999760616581622
weight,NONE,87,19,1.8488963208033629e-06,0.999977910554483
weight,NONE,88,9,8.757929940647508e-07,0.999978786347477
weight,NONE,89,21,2.0435169861510853e-06,0.9999808298644632
weight,NONE,90,11,1.0704136594124733e-06,0.9999819002781226
weight,NONE,91,13,1.2650343247601957e-06,0.9999831653124475
weight,NONE,92,11,1.0704136594124733e-06,0.9999842357261068
weight,NONE,93,8,7.784826613908896e-07,0.9999850142087682
weight,NONE,94,12,1.1677239920863345e-06,0.9999861819327603
weight,NONE,95,6,5.838619960431673e-07,0.9999867657947563
weight,NONE,96,5,4.865516633693061e-07,0.9999872523464197
weight,NONE,97,8,7.784826613908896e-07,0.9999880308290812
weight,NONE,98,7,6.811723287170285e-07,0.9999887120014098
weight,NONE,99,4,3.892413306954448e-07,0.9999891012427405
weight,NONE,100,7,6.811723287170285e-07,0.9999897824150692
