tensor_type,predictor,residual_level,count,probability,cumulative_probability
weight,NONE,0,12241142,0.08233660572198535,0.08233660572198535
weight,NONE,1,11821471,0.07951380653707668,0.16185041225906202
weight,NONE,2,11260685,0.07574183691394762,0.23759224917300967
weight,NONE,3,10588642,0.07122152830881746,0.3088137774818271
weight,NONE,4,9871250,0.066396192384105,0.37520996986593214
weight,NONE,5,9085350,0.06111005662676241,0.4363200264926945
weight,NONE,6,8304139,0.05585546011177402,0.4921754866044686
weight,NONE,7,7520246,0.050582823876590716,0.5427583104810593
weight,NONE,8,6792211,0.045685900799740074,0.5884442112807994
weight,NONE,9,6101928,0.04104290595435807,0.6294871172351574
weight,NONE,10,5488407,0.03691622915580789,0.6664033463909653
weight,NONE,11,4923531,0.033116749295692534,0.6995200956866579
weight,NONE,12,4424656,0.029761206636392,0.7292813023230499
weight,NONE,13,3957459,0.026618737152458688,0.7559000394755085
weight,NONE,14,3605548,0.024251706588134737,0.7801517460636432
weight,NONE,15,3206131,0.02156514024917239,0.8017168863128157
weight,NONE,16,2929278,0.01970296625397253,0.8214198525667882
weight,NONE,17,2597599,0.017472020558770042,0.8388918731255582
weight,NONE,18,2363309,0.0158961346361491,0.8547880077617073
weight,NONE,19,2105927,0.014164926857174229,0.8689529346188816
weight,NONE,20,1924687,0.01294586686905771,0.8818988014879393
weight,NONE,21,1735476,0.011673192186804814,0.893571993674744
weight,NONE,22,1595132,0.010729207663674021,0.9043012013384181
weight,NONE,23,1408564,0.009474310379062883,0.913775511717481
weight,NONE,24,1291383,0.008686125273857178,0.9224616369913382
weight,NONE,25,1148709,0.007726468659729303,0.9301881056510675
weight,NONE,26,1056906,0.007108981548224884,0.9372970871992924
weight,NONE,27,933645,0.0062799010296018965,0.9435769882288942
weight,NONE,28,869508,0.005848501501584741,0.949425489730479
weight,NONE,29,775115,0.0052135934820621045,0.9546390832125411
weight,NONE,30,685169,0.004608596959820169,0.9592476801723613
weight,NONE,31,626224,0.004212119962471194,0.9634598001348325
weight,NONE,32,557707,0.0037512595938672456,0.9672110597286997
weight,NONE,33,509129,0.003424513312126326,0.970635573040826
weight,NONE,34,473622,0.003185685443013254,0.9738212584838393
weight,NONE,35,408484,0.002747552969464733,0.976568811453304
weight,NONE,36,367635,0.002472793636786673,0.9790416050900906
weight,NONE,37,330517,0.0022231298283618825,0.9812647349184526
weight,NONE,38,303676,0.0020425913758070633,0.9833073262942597
weight,NONE,39,255168,0.0017163159294179872,0.9850236422236777
weight,NONE,40,245510,0.0016513541033021774,0.9866749963269797
weight,NONE,41,211245,0.0014208801985746752,0.9880958765255544
weight,NONE,42,192367,0.0012939026304017351,0.9893897791559562
weight,NONE,43,165934,0.0011161084753262332,0.9905058876312824
weight,NONE,44,153885,0.0010350642588353044,0.9915409518901177
weight,NONE,45,135028,0.0009082279412679175,0.9924491798313857
weight,NONE,46,122603,0.0008246546663156567,0.9932738344977013
weight,NONE,47,107651,0.0007240842351618374,0.9939979187328631
weight,NONE,48,96697,0.0006504052288176068,0.9946483239616808
weight,NONE,49,86261,0.0005802104040770198,0.9952285343657578
weight,NONE,50,78616,0.0005287884574363733,0.9957573228231942
weight,NONE,51,66152,0.0004449528599309423,0.9962022756831251
weight,NONE,52,61519,0.0004137902858581999,0.9966160659689833
weight,NONE,53,54332,0.00036544894766247366,0.9969815149166458
weight,NONE,54,47612,0.00032024875388547626,0.9973017636705312
weight,NONE,55,42285,0.00028441818361016894,0.9975861818541414
weight,NONE,56,38554,0.0002593226593568985,0.9978455045134983
weight,NONE,57,35769,0.00024059013857283037,0.9980860946520711
weight,NONE,58,29976,0.0002016251500981063,0.9982877198021692
weight,NONE,59,26721,0.00017973130623737316,0.9984674511084066
weight,NONE,60,23012,0.0001547837588089679,0.9986222348672156
weight,NONE,61,21185,0.00014249495612584672,0.9987647298233414
weight,NONE,62,19202,0.00012915686323004526,0.9988938866865715
weight,NONE,63,16252,0.00010931451625948837,0.9990032012028309
weight,NONE,64,14795,9.951441472182688e-05,0.9991027156175528
weight,NONE,65,13067,8.789150775059897e-05,0.9991906071253034
weight,NONE,66,11556,7.772819037008661e-05,0.9992683353156735
weight,NONE,67,10362,6.96970845114951e-05,0.9993380324001849
weight,NONE,68,9296,6.252693472484641e-05,0.9994005593349098
weight,NONE,69,8116,5.458999593662365e-05,0.9994551493308464
weight,NONE,70,7309,4.916193695179673e-05,0.9995043112677983
weight,NONE,71,6609,4.44535834333595e-05,0.9995487648512316
weight,NONE,72,5854,3.9375287852759344e-05,0.9995881401390844
weight,NONE,73,5391,3.626104831127872e-05,0.9996244011873956
weight,NONE,74,4680,3.1478706380408904e-05,0.999655879893776
weight,NONE,75,4190,2.8182858917502845e-05,0.9996840627526935
weight,NONE,76,3936,2.6474399212241336e-05,0.9997105371519058
weight,NONE,77,3590,2.4147127330270935e-05,0.9997346842792361
weight,NONE,78,2877,1.9351332960777014e-05,0.9997540356121969
weight,NONE,79,2725,1.8328947625344928e-05,0.9997723645598222
weight,NONE,80,2783,1.8719068345444015e-05,0.9997910836281676
weight,NONE,81,2351,1.581334160263704e-05,0.9998068969697703
weight,NONE,82,2009,1.351297459791485e-05,0.9998204099443682
weight,NONE,83,1784,1.1999575252702882e-05,0.9998324095196209
weight,NONE,84,1833,1.2329159998993489e-05,0.9998447386796199
weight,NONE,85,1391,9.356171063065981e-06,0.999854094850683
weight,NONE,86,1532,1.030456798606548e-05,0.999864399418669
weight,NONE,87,1122,7.546818068123674e-06,0.9998719462367371
weight,NONE,88,1212,8.15217780620846e-06,0.9998800984145434
weight,NONE,89,990,6.658957118932653e-06,0.9998867573716623
weight,NONE,90,957,6.436991881634899e-06,0.999893194363544
weight,NONE,91,848,5.703833976621101e-06,0.9998988981975205
weight,NONE,92,895,6.019966284287601e-06,0.9999049181638048
weight,NONE,93,737,4.957223632983198e-06,0.9999098753874378
weight,NONE,94,753,5.064843141976049e-06,0.9999149402305798
weight,NONE,95,618,4.1568035348488685e-06,0.9999190970341146
weight,NONE,96,673,4.526745597011794e-06,0.9999236237797117
weight,NONE,97,584,3.92811207823906e-06,0.9999275518917898
weight,NONE,98,529,3.558170016076135e-06,0.9999311100618059
weight,NONE,99,529,3.558170016076135e-06,0.999934668231822
weight,NONE,100,471,3.16804929597705e-06,0.999937836281118
weight,NONE,101,477,3.2084066118493695e-06,0.9999410446877298
weight,NONE,102,426,2.8653694269346568e-06,0.9999439100571568
weight,NONE,103,375,2.5223322420199445e-06,0.9999464323893988
weight,NONE,104,366,2.461796268211466e-06,0.999948894185667
