tensor_type,predictor,residual_level,count,probability,cumulative_probability
weight,NONE,0,509999,0.05799808856120789,0.05799808856120789
weight,NONE,1,507237,0.05768398849315667,0.11568207705436456
weight,NONE,2,496615,0.05647603377815301,0.17215811083251756
weight,NONE,3,482440,0.05486402492057658,0.22702213575309416
weight,NONE,4,481036,0.05470435928134996,0.28172649503444414
weight,NONE,5,461373,0.052468244278420485,0.3341947393128646
weight,NONE,6,441025,0.05015422972928714,0.3843489690421517
weight,NONE,7,421013,0.04787842576048153,0.4322273948026333
weight,NONE,8,401782,0.04569143864654485,0.4779188334491781
weight,NONE,9,375393,0.04269042970526906,0.5206092631544471
weight,NONE,10,354453,0.04030909175270112,0.5609183549071483
weight,NONE,11,332547,0.037817898381690945,0.5987362532888393
weight,NONE,12,310750,0.03533910070489423,0.6340753539937335
weight,NONE,13,285179,0.032431116331202034,0.6665064703249355
weight,NONE,14,266775,0.030338177282536308,0.6968446476074718
weight,NONE,15,245870,0.027960819598752514,0.7248054672062243
weight,NONE,16,226386,0.02574506082760478,0.750550528033829
weight,NONE,17,205783,0.023402047177329844,0.7739525752111589
weight,NONE,18,189036,0.021497545425101804,0.7954501206362607
weight,NONE,19,172865,0.01965854752486417,0.8151086681611249
weight,NONE,20,157027,0.017857419039058492,0.8329660872001834
weight,NONE,21,142352,0.016188549198851498,0.8491546363990349
weight,NONE,22,129047,0.014675478451052246,0.8638301148500872
weight,NONE,23,117072,0.01331365791705029,0.8771437727671374
weight,NONE,24,106104,0.012066355402066282,0.8892101281692038
weight,NONE,25,94940,0.010796763381891096,0.9000068915510948
weight,NONE,26,86509,0.00983797349277456,0.9098448650438694
weight,NONE,27,78556,0.008933542703052843,0.9187784077469222
weight,NONE,28,70246,0.007988513171732905,0.9267669209186551
weight,NONE,29,63251,0.0071930280247313435,0.9339599489433865
weight,NONE,30,56913,0.006472258208906341,0.9404322071522928
weight,NONE,31,51411,0.0058465599560396375,0.9462787671083325
weight,NONE,32,46628,0.005302627796195682,0.9515813949045281
weight,NONE,33,42065,0.004783714468709174,0.9563651093732373
weight,NONE,34,37430,0.004256613159723865,0.9606217225329612
weight,NONE,35,34183,0.003887357938520996,0.9645090804714822
weight,NONE,36,30505,0.0034690885502905826,0.9679781690217728
weight,NONE,37,27500,0.0031273540446809054,0.9711055230664537
weight,NONE,38,24881,0.002829516217662022,0.9739350392841157
weight,NONE,39,22420,0.0025496464611543964,0.97648468574527
weight,NONE,40,20421,0.0023223162525974096,0.9788070019978675
weight,NONE,41,18041,0.002051657975275935,0.9808586599731434
weight,NONE,42,16341,0.0018583306343320245,0.9827169906074754
weight,NONE,43,14778,0.0016805832026288879,0.9843975738101043
weight,NONE,44,13357,0.0015189842899928309,0.9859165581000972
weight,NONE,45,12058,0.001371259457118631,0.9872878175572158
weight,NONE,46,10799,0.0012280835028548763,0.9885159010600707
weight,NONE,47,9866,0.0011219809092662477,0.9896378819693369
weight,NONE,48,8734,0.0009932476445906554,0.9906311296139275
weight,NONE,49,7978,0.0009072738388532459,0.9915384034527808
weight,NONE,50,6941,0.0007893441608774605,0.9923277476136583
weight,NONE,51,6457,0.0007343027296910766,0.9930620503433494
weight,NONE,52,5766,0.00065572085169564,0.993717771195045
weight,NONE,53,5147,0.0005853269551990044,0.994303098150244
weight,NONE,54,4689,0.0005332422951094096,0.9948363404453534
weight,NONE,55,4279,0.0004866162893523489,0.9953229567347057
weight,NONE,56,3739,0.00042520642811134197,0.9957481631628171
weight,NONE,57,3516,0.0003998464298581114,0.9961480095926752
weight,NONE,58,3137,0.00035674580502414544,0.9965047553976993
weight,NONE,59,2818,0.00032046849810584696,0.9968252238958052
weight,NONE,60,2468,0.0002806658102644536,0.9971058897060696
weight,NONE,61,2288,0.0002601958565174513,0.9973660855625871
weight,NONE,62,2091,0.0002377926293610099,0.9976038781919481
weight,NONE,63,1866,0.00021220518717725707,0.9978160833791254
weight,NONE,64,1674,0.0001903705698471213,0.9980064539489725
weight,NONE,65,1551,0.00017638276812000306,0.9981828367170925
weight,NONE,66,1426,0.00016216752246236258,0.9983450042395549
weight,NONE,67,1232,0.00014010546120170455,0.9984851097007565
weight,NONE,68,1104,0.0001255490496482807,0.9986106587504049
weight,NONE,69,1097,0.00012475299589145283,0.9987354117462963
weight,NONE,70,980,0.00011144752595590135,0.9988468592722523
weight,NONE,71,897,0.00010200860283922807,0.9989488678750914
weight,NONE,72,790,8.984035255628783e-05,0.9990387082276477
weight,NONE,73,716,8.142492712696466e-05,0.9991201331547747
weight,NONE,74,683,7.767210227334757e-05,0.999197805257048
weight,NONE,75,596,6.77782912956298e-05,0.9992655835483437
weight,NONE,76,567,6.448035430305721e-05,0.9993300639026467
weight,NONE,77,493,5.6064928873734044e-05,0.9993861288315204
weight,NONE,78,440,5.0037664714894485e-05,0.9994361664962353
weight,NONE,79,397,4.514762020866616e-05,0.999481314116444
weight,NONE,80,369,4.196340518135469e-05,0.9995232775216254
weight,NONE,81,325,3.6959638709865247e-05,0.9995602371603353
weight,NONE,82,255,2.8999101141586576e-05,0.9995892362614768
weight,NONE,83,284,3.2297038134159167e-05,0.999621533299611
weight,NONE,84,231,2.6269773975319604e-05,0.9996478030735862
weight,NONE,85,227,2.581488611427511e-05,0.9996736179597006
weight,NONE,86,206,2.3426724843791508e-05,0.9996970446845443
weight,NONE,87,211,2.3995334670097126e-05,0.9997210400192145
weight,NONE,88,178,2.024250981648004e-05,0.9997412825290309
weight,NONE,89,167,1.899156819860768e-05,0.9997602740972296
weight,NONE,90,144,1.6375962997601832e-05,0.9997766500602272
weight,NONE,91,130,1.4783855483946097e-05,0.9997914339157111
weight,NONE,92,113,1.2850582074506993e-05,0.9998042844977856
weight,NONE,93,111,1.2623138143984746e-05,0.9998169076359296
weight,NONE,94,89,1.012125490824002e-05,0.9998270288908379
weight,NONE,95,118,1.3419191900812611e-05,0.9998404480827386
weight,NONE,96,86,9.780089012456649e-06,0.9998502281717511
weight,NONE,97,82,9.325201151412153e-06,0.9998595533729026
weight,NONE,98,78,8.870313290367659e-06,0.9998684236861929
weight,NONE,99,68,7.73309363775642e-06,0.9998761567798307
weight,NONE,100,77,8.756591325106535e-06,0.9998849133711557
weight,NONE,101,71,8.074259533539792e-06,0.9998929876306892
weight,NONE,102,58,6.595873985145182e-06,0.9998995835046744
weight,NONE,103,51,5.7998202283173155e-06,0.9999053833249028
weight,NONE,104,48,5.458654332533944e-06,0.9999108419792353
weight,NONE,105,51,5.7998202283173155e-06,0.9999166417994636
weight,NONE,106,36,4.093990749400458e-06,0.999920735790213
weight,NONE,107,31,3.5253809230948386e-06,0.9999242611711361
weight,NONE,108,29,3.297936992572591e-06,0.9999275591081287
weight,NONE,109,27,3.0704930620503435e-06,0.9999306296011907
weight,NONE,110,37,4.2077127146615816e-06,0.9999348373139054
weight,NONE,111,37,4.2077127146615816e-06,0.99993904502662
weight,NONE,112,33,3.7528248536170865e-06,0.9999427978514737
weight,NONE,113,23,2.615605201005848e-06,0.9999454134566746
weight,NONE,114,34,3.86654681887821e-06,0.9999492800034936
weight,NONE,115,24,2.729327166266972e-06,0.9999520093306598
weight,NONE,116,36,4.093990749400458e-06,0.9999561033214092
weight,NONE,117,16,1.8195514441779813e-06,0.9999579228728533
weight,NONE,118,16,1.8195514441779813e-06,0.9999597424242975
weight,NONE,119,16,1.8195514441779813e-06,0.9999615619757417
weight,NONE,120,14,1.5921075136557335e-06,0.9999631540832554
weight,NONE,121,19,2.1607173399613526e-06,0.9999653148005954
weight,NONE,122,26,2.9567710967892195e-06,0.9999682715716921
weight,NONE,123,11,1.250941617872362e-06,0.9999695225133101
weight,NONE,124,13,1.4783855483946098e-06,0.9999710008988584
weight,NONE,125,13,1.4783855483946098e-06,0.9999724792844068
weight,NONE,126,242,2.7520715593191966e-05,1.0
weight,MEAN,0,187234,0.04868011661346713,0.04868011661346713
weight,MEAN,1,187654,0.04878931499077924,0.09746943160424636
weight,MEAN,2,185333,0.048185863958061584,0.14565529556230794
weight,MEAN,3,178062,0.04629543204987974,0.19195072761218768
weight,MEAN,4,185267,0.04816870421305539,0.2401194318252431
weight,MEAN,5,178427,0.04639033063968669,0.28650976246492976
weight,MEAN,6,171465,0.04458023753767019,0.33109000000259997
weight,MEAN,7,166781,0.04336241563450367,0.37445241563710363
weight,MEAN,8,160898,0.04183285836372472,0.4162852740008283
weight,MEAN,9,153441,0.039894067174161794,0.45617934117499015
weight,MEAN,10,146568,0.038107113728289996,0.49428645490328016
weight,MEAN,11,140520,0.036534657094995565,0.5308211119982758
weight,MEAN,12,134364,0.03493412087896374,0.5657552328772394
weight,MEAN,13,124748,0.032433998030789266,0.5981892309080287
weight,MEAN,14,118123,0.030711523626758906,0.6289007545347877
weight,MEAN,15,111933,0.029102147542087526,0.6580029020768752
weight,MEAN,16,105303,0.02737837315737488,0.68538127523425
weight,MEAN,17,97347,0.02530984389571971,0.7106911191299697
weight,MEAN,18,91000,0.023659648417624513,0.7343507675475942
weight,MEAN,19,84505,0.021970973511333623,0.7563217410589279
weight,MEAN,20,79177,0.02058571409628853,0.7769074551552164
weight,MEAN,21,71784,0.01866356265945888,0.7955710178146753
weight,MEAN,22,66984,0.017415581204463303,0.8129865990191386
weight,MEAN,23,62253,0.016185539482883284,0.8291721385020219
weight,MEAN,24,56835,0.014776880415557025,0.8439490189175789
weight,MEAN,25,51869,0.013485739601909515,0.8574347585194884
weight,MEAN,26,48227,0.01253883367293162,0.86997359219242
weight,MEAN,27,44250,0.011504829038240492,0.8814784212306606
weight,MEAN,28,41106,0.010687401185218388,0.8921658224158789
weight,MEAN,29,36558,0.009504938756610076,0.901670761172489
weight,MEAN,30,33561,0.008725730335647212,0.9103964915081362
weight,MEAN,31,31101,0.008086139839961978,0.9184826313480982
weight,MEAN,32,28532,0.007418209765402886,0.925900841113501
weight,MEAN,33,25482,0.006625221549207779,0.9325260626627089
weight,MEAN,34,23374,0.006077149693555554,0.9386032123562644
weight,MEAN,35,21389,0.00556105736268759,0.944164269718952
weight,MEAN,36,19473,0.005062904765235189,0.9492271744841871
weight,MEAN,37,17702,0.004602451607569112,0.9538296260917563
weight,MEAN,38,16431,0.004271996518131741,0.9581016226098881
weight,MEAN,39,14766,0.0038391029509301493,0.9619407255608182
weight,MEAN,40,13502,0.00351046783444798,0.9654511933952662
weight,MEAN,41,12283,0.0031935325441063947,0.9686447259393726
weight,MEAN,42,11027,0.0028669773967158847,0.9715117033360884
weight,MEAN,43,10168,0.002643640715498968,0.9741553440515874
weight,MEAN,44,9094,0.002364404864943707,0.9765197489165311
weight,MEAN,45,8320,0.00216316785532567,0.9786829167718568
weight,MEAN,46,7547,0.00196219084184409,0.9806451076137008
weight,MEAN,47,6831,0.001776033608140583,0.9824211412218414
weight,MEAN,48,6286,0.0016343357137712934,0.9840554769356127
weight,MEAN,49,5590,0.0014533784027969344,0.9855088553384097
weight,MEAN,50,5099,0.001325720299796345,0.986834575638206
weight,MEAN,51,4693,0.0012201618683946357,0.9880547375066007
weight,MEAN,52,4216,0.00109614371130445,0.9891508812179051
weight,MEAN,53,3863,0.0010043650751349834,0.9901552462930401
weight,MEAN,54,3468,0.0009016666012343057,0.9910569128942744
weight,MEAN,55,3224,0.000838227543938697,0.9918951404382131
weight,MEAN,56,2894,0.000752428818907751,0.9926475692571208
