tensor_type,predictor,residual_level,count,probability,cumulative_probability
weight,NONE,0,11255115,0.15326797552503618,0.15326797552503618
weight,NONE,1,9454682,0.12875034767507929,0.2820183232001155
weight,NONE,2,8070030,0.10989467104745777,0.39191299424757325
weight,NONE,3,7014794,0.09552485915116556,0.4874378533987388
weight,NONE,4,6126313,0.08342585490621028,0.570863708304949
weight,NONE,5,5294500,0.07209853443676978,0.6429622427417189
weight,NONE,6,4523220,0.06159552987724729,0.7045577726189661
weight,NONE,7,3831963,0.05218224880837239,0.7567400214273385
weight,NONE,8,3226280,0.04393428268630874,0.8006743041136473
weight,NONE,9,2689769,0.03662827516733512,0.8373025792809824
weight,NONE,10,2232861,0.03040627173501184,0.8677088510159943
weight,NONE,11,1832888,0.024959587985030143,0.8926684390010244
weight,NONE,12,1508119,0.020537004373641855,0.9132054433746662
weight,NONE,13,1227322,0.016713215125508576,0.9299186585001749
weight,NONE,14,995415,0.013555191737912397,0.9434738502380872
weight,NONE,15,806560,0.010983434495291535,0.9544572847333788
weight,NONE,16,658224,0.008963449944491142,0.9634207346778699
weight,NONE,17,527232,0.007179649543520068,0.97060038422139
weight,NONE,18,418043,0.005692754298149126,0.9762931385195391
weight,NONE,19,329542,0.004487580552528471,0.9807807190720675
weight,NONE,20,263253,0.003584881572590982,0.9843656006446585
weight,NONE,21,210407,0.0028652443734512073,0.9872308450181098
weight,NONE,22,170953,0.002327974456052338,0.9895588194741621
weight,NONE,23,145026,0.0019749102002506323,0.9915337296744127
weight,NONE,24,124719,0.0016983770169835659,0.9932321066913963
weight,NONE,25,95048,0.0012943283598349407,0.9945264350512312
weight,NONE,26,69642,0.0009483588885155389,0.9954747939397468
weight,NONE,27,55866,0.0007607624374057192,0.9962355563771524
weight,NONE,28,44990,0.0006126571091340584,0.9968482134862865
weight,NONE,29,36400,0.0004956816797617187,0.9973438951660483
weight,NONE,30,29827,0.00040617300720474685,0.997750068173253
weight,NONE,31,24380,0.00033199778441183247,0.9980820659576648
weight,NONE,32,19817,0.00026986054527027416,0.9983519265029351
weight,NONE,33,16659,0.00022685607426237562,0.9985787825771975
weight,NONE,34,13984,0.00019042891785131524,0.9987692114950488
weight,NONE,35,11559,0.00015740616858147546,0.9989266176636302
weight,NONE,36,9945,0.0001354273160777553,0.9990620449797081
weight,NONE,37,8682,0.00011822825120030885,0.9991802732309083
weight,NONE,38,7183,9.781542598155016e-05,0.9992780886568899
weight,NONE,39,6253,8.515103141620954e-05,0.9993632396883061
weight,NONE,40,5419,7.379392919309763e-05,0.9994370336174992
weight,NONE,41,4665,6.352623725517632e-05,0.9995005598547544
weight,NONE,42,3988,5.4307102716750944e-05,0.9995548669574711
weight,NONE,43,3501,4.7675317605653223e-05,0.9996025422750768
weight,NONE,44,3066,4.1751649179929384e-05,0.9996442939242567
weight,NONE,45,2757,3.7543801953380726e-05,0.9996818377262101
weight,NONE,46,2391,3.2559749898633774e-05,0.9997143974761087
weight,NONE,47,2217,3.0190282528344243e-05,0.9997445877586371
weight,NONE,48,1958,2.6663316730039706e-05,0.9997712510753671
weight,NONE,49,1624,2.2115028789368988e-05,0.9997933661041565
weight,NONE,50,1414,1.925532679074369e-05,0.9998126214309472
weight,NONE,51,1316,1.7920799191385214e-05,0.9998305422301386
weight,NONE,52,1185,1.6136889849385623e-05,0.999846679119988
weight,NONE,53,1072,1.4598097821553915e-05,0.9998612772178096
weight,NONE,54,920,1.2528218279691793e-05,0.9998738054360893
weight,NONE,55,866,1.1792866337188143e-05,0.9998855983024264
weight,NONE,56,776,1.056727976634873e-05,0.9998961655821927
weight,NONE,57,684,9.31445793837955e-06,0.9999054800401311
weight,NONE,58,603,8.211430024624077e-06,0.9999136914701557
weight,NONE,59,527,7.176490253693016e-06,0.9999208679604095
weight,NONE,60,524,7.1356373679983686e-06,0.9999280035977774
weight,NONE,61,474,6.45475593975425e-06,0.9999344583537172
weight,NONE,62,376,5.120228340395776e-06,0.9999395785820576
weight,NONE,63,339,4.616376083495128e-06,0.9999441949581411
weight,NONE,64,311,4.235082483678421e-06,0.9999484300406248
weight,NONE,65,270,3.676759712518243e-06,0.9999521068003373
weight,NONE,66,283,3.8537888838617144e-06,0.9999559605892212
weight,NONE,67,295,4.017200426640303e-06,0.9999599777896478
weight,NONE,68,240,3.268230855571772e-06,0.9999632460205033
weight,NONE,69,220,2.9958782842741244e-06,0.9999662418987877
weight,NONE,70,175,2.383084998854417e-06,0.9999686249837865
weight,NONE,71,182,2.4784083988085938e-06,0.9999711033921853
weight,NONE,72,174,2.3694673702895344e-06,0.9999734728595556
weight,NONE,73,163,2.2196734560758285e-06,0.9999756925330117
weight,NONE,74,141,1.920085627648416e-06,0.9999776126186394
weight,NONE,75,109,1.4843215135721798e-06,0.9999790969401529
weight,NONE,76,117,1.5932625420912387e-06,0.999980690202695
weight,NONE,77,103,1.4026157421828855e-06,0.9999820928184372
weight,NONE,78,126,1.7158211991751803e-06,0.9999838086396363
weight,NONE,79,75,1.0213221423661786e-06,0.9999848299617787
weight,NONE,80,75,1.0213221423661786e-06,0.999985851283921
weight,NONE,81,73,9.94086885236414e-07,0.9999868453708063
weight,NONE,82,71,9.668516281066492e-07,0.9999878122224344
weight,NONE,83,74,1.0077045138012964e-06,0.9999888199269482
weight,NONE,84,53,7.217343139387663e-07,0.9999895416612622
weight,NONE,85,44,5.991756568548248e-07,0.9999901408369191
weight,NONE,86,46,6.264109139845897e-07,0.999990767247833
weight,NONE,87,46,6.264109139845897e-07,0.999991393658747
weight,NONE,88,36,4.902346283357658e-07,0.9999918838933753
weight,NONE,89,30,4.085288569464715e-07,0.9999922924222323
weight,NONE,90,45,6.127932854197072e-07,0.9999929052155176
weight,NONE,91,40,5.447051425952954e-07,0.9999934499206603
weight,NONE,92,29,3.949112283815891e-07,0.9999938448318887
weight,NONE,93,23,3.1320545699229483e-07,0.9999941580373457
weight,NONE,94,13,1.77029171343471e-07,0.999994335066517
weight,NONE,95,29,3.949112283815891e-07,0.9999947299777454
weight,NONE,96,18,2.451173141678829e-07,0.9999949750950595
weight,NONE,97,30,4.085288569464715e-07,0.9999953836239165
weight,NONE,98,24,3.268230855571772e-07,0.9999957104470021
weight,NONE,99,14,1.9064679990835335e-07,0.999995901093802
weight,NONE,100,17,2.314996856030005e-07,0.9999961325934875
weight,NONE,101,14,1.9064679990835335e-07,0.9999963232402875
weight,NONE,102,11,1.497939142137062e-07,0.9999964730342017
weight,NONE,103,12,1.634115427785886e-07,0.9999966364457444
weight,NONE,104,15,2.0426442847323575e-07,0.9999968407101729
weight,NONE,105,26,3.54058342686942e-07,0.9999971947685157
weight,NONE,106,19,2.5873494273276526e-07,0.9999974535034584
weight,NONE,107,18,2.451173141678829e-07,0.9999976986207725
weight,NONE,108,8,1.0894102851905907e-07,0.999997807561801
weight,NONE,109,8,1.0894102851905907e-07,0.9999979165028295
weight,NONE,110,5,6.808814282441192e-08,0.9999979845909724
weight,NONE,111,3,4.085288569464715e-08,0.9999980254438581
weight,NONE,112,9,1.2255865708394145e-07,0.9999981480025152
weight,NONE,113,10,1.3617628564882384e-07,0.9999982841788009
weight,NONE,114,6,8.17057713892943e-08,0.9999983658845722
weight,NONE,115,8,1.0894102851905907e-07,0.9999984748256008
weight,NONE,116,12,1.634115427785886e-07,0.9999986382371435
weight,NONE,117,8,1.0894102851905907e-07,0.999998747178172
weight,NONE,118,6,8.17057713892943e-08,0.9999988288839434
weight,NONE,119,1,1.3617628564882384e-08,0.999998842501572
weight,NONE,120,3,4.085288569464715e-08,0.9999988833544576
weight,NONE,121,3,4.085288569464715e-08,0.9999989242073434
weight,NONE,122,3,4.085288569464715e-08,0.9999989650602291
weight,NONE,123,2,2.7235257129764767e-08,0.9999989922954862
weight,NONE,124,3,4.085288569464715e-08,0.9999990331483719
weight,NONE,125,6,8.17057713892943e-08,0.9999991148541433
weight,NONE,126,31,4.2214648551135386e-07,0.9999995370006288
weight,NONE,127,34,4.62999371206001e-07,1.0
weight,MEAN,0,21184,0.12841511835843966,0.12841511835843966
weight,MEAN,1,19847,0.12031036886612312,0.24872548722456278
weight,MEAN,2,17106,0.10369472312308671,0.3524202103476495
weight,MEAN,3,14986,0.0908435122601764,0.4432637226078259
weight,MEAN,4,12849,0.07788924923468614,0.5211529718425121
weight,MEAN,5,11673,0.0707604643409208,0.5919134361834328
weight,MEAN,6,9969,0.06043100051526081,0.6523444366986937
weight,MEAN,7,7793,0.04724032370502834,0.699584760403722
weight,MEAN,8,6285,0.03809899069499591,0.7376837510987179
weight,MEAN,9,5203,0.03154002364137847,0.7692237747400964
weight,MEAN,10,4459,0.02702997605552693,0.7962537507956233
weight,MEAN,11,4262,0.025835783347982904,0.8220895341436062
weight,MEAN,12,3438,0.02084078440881399,0.8429303185524202
weight,MEAN,13,2543,0.01541539114357591,0.8583457096959961
weight,MEAN,14,2147,0.013014881944654926,0.871360591640651
weight,MEAN,15,1841,0.011159943018215985,0.882520534658867
weight,MEAN,16,1721,0.010432515988239929,0.892953050647107
weight,MEAN,17,1522,0.00922619949686297,0.9021792501439699
weight,MEAN,18,1368,0.008292668141727032,0.910471918285697
weight,MEAN,19,1230,0.007456127057254569,0.9179280453429516
weight,MEAN,20,981,0.005946715970054254,0.9238747613130058
weight,MEAN,21,1012,0.006134634619464735,0.9300093959324706
weight,MEAN,22,819,0.004964689479586579,0.9349740854120571
weight,MEAN,23,788,0.004776770830176098,0.9397508562422332
weight,MEAN,24,782,0.004740399478677295,0.9444912557209105
weight,MEAN,25,747,0.004528233261600945,0.9490194889825114
weight,MEAN,26,730,0.004425181099021004,0.9534446700815324
weight,MEAN,27,682,0.004134210287030583,0.957578880368563
weight,MEAN,28,589,0.003570454338799139,0.9611493347073622
weight,MEAN,29,498,0.0030188221744006302,0.9641681568817628
weight,MEAN,30,511,0.003097626769314703,0.9672657836510775
weight,MEAN,31,432,0.0026187373079138,0.9698845209589912
weight,MEAN,32,388,0.002352014063589246,0.9722365350225806
weight,MEAN,33,329,0.0019943624405176857,0.9742308974630982
weight,MEAN,34,288,0.0017458248719425334,0.9759767223350407
weight,MEAN,35,331,0.0020064862243506197,0.9779832085593914
weight,MEAN,36,297,0.0018003818991907375,0.9797835904585821
weight,MEAN,37,278,0.001685205952777862,0.98146879641136
weight,MEAN,38,253,0.0015336586548661837,0.9830024550662262
weight,MEAN,39,194,0.001176007031794623,0.9841784620980208
weight,MEAN,40,223,0.0013518018973721698,0.985530263995393
weight,MEAN,41,157,0.0009517170308853394,0.9864819810262783
weight,MEAN,42,149,0.0009032218955536023,0.9873852029218319
weight,MEAN,43,93,0.000563755948231443,0.9879489588700634
weight,MEAN,44,104,0.0006304367593125814,0.9885793956293759
weight,MEAN,45,100,0.000606189191646713,0.9891855848210226
weight,MEAN,46,95,0.0005758797320643773,0.989761464553087
weight,MEAN,47,81,0.0004910132452338375,0.9902524777983208
weight,MEAN,48,96,0.0005819416239808444,0.9908344194223017
weight,MEAN,49,78,0.0004728275694844361,0.9913072469917862
weight,MEAN,50,108,0.00065468432697845,0.9919619313187645
weight,MEAN,51,64,0.0003879610826538963,0.9923498924014185
weight,MEAN,52,98,0.0005940654078137787,0.9929439578092323
weight,MEAN,53,90,0.0005455702724820416,0.9934895280817143
weight,MEAN,54,108,0.00065468432697845,0.9941442124086928
weight,MEAN,55,83,0.0005031370290667717,0.9946473494377596
weight,MEAN,56,98,0.0005940654078137787,0.9952414148455733
weight,MEAN,57,89,0.0005395083805655746,0.9957809232261389
weight,MEAN,58,46,0.00027884702815748793,0.9960597702542964
weight,MEAN,59,57,0.0003455278392386264,0.996405298093535
weight,MEAN,60,30,0.00018185675749401387,0.996587154851029
weight,MEAN,61,43,0.0002606613524080866,0.9968478162034371
weight,MEAN,62,52,0.0003152183796562907,0.9971630345830934
weight,MEAN,63,38,0.00023035189282575092,0.9973933864759191
weight,MEAN,64,47,0.00028490892007395507,0.9976782953959931
weight,MEAN,65,49,0.00029703270390688934,0.9979753280999
weight,MEAN,66,41,0.0002485375685751523,0.9982238656684751
weight,MEAN,67,32,0.00019398054132694815,0.9984178462098021
weight,MEAN,68,37,0.00022429000090928378,0.9986421362107114
weight,MEAN,69,27,0.0001636710817446125,0.9988058072924559
weight,MEAN,70,35,0.00021216621707634953,0.9990179735095324
weight,MEAN,71,30,0.00018185675749401387,0.9991998302670263
weight,MEAN,72,7,4.2433243415269906e-05,0.9992422635104417
weight,MEAN,73,19,0.00011517594641287546,0.9993574394568545
weight,MEAN,74,9,5.455702724820417e-05,0.9994119964841027
weight,MEAN,75,9,5.455702724820417e-05,0.9994665535113509
weight,MEAN,76,3,1.8185675749401388e-05,0.9994847391871003
weight,MEAN,77,1,6.06189191646713e-06,0.9994908010790168
weight,MEAN,79,3,1.8185675749401388e-05,0.9995089867547662
weight,MEAN,80,2,1.212378383293426e-05,0.999521110538599
weight,MEAN,81,1,6.06189191646713e-06,0.9995271724305156
weight,MEAN,82,1,6.06189191646713e-06,0.999533234322432
weight,MEAN,83,2,1.212378383293426e-05,0.999545358106265
weight,MEAN,84,3,1.8185675749401388e-05,0.9995635437820144
weight,MEAN,85,3,1.8185675749401388e-05,0.9995817294577638
weight,MEAN,87,2,1.212378383293426e-05,0.9995938532415967
weight,MEAN,88,1,6.06189191646713e-06,0.9995999151335132
weight,MEAN,89,2,1.212378383293426e-05,0.9996120389173461
weight,MEAN,90,3,1.8185675749401388e-05,0.9996302245930955
weight,MEAN,91,2,1.212378383293426e-05,0.9996423483769284
weight,MEAN,95,3,1.8185675749401388e-05,0.9996605340526779
weight,MEAN,96,1,6.06189191646713e-06,0.9996665959445943
weight,MEAN,99,2,1.212378383293426e-05,0.9996787197284273
weight,MEAN,101,2,1.212378383293426e-05,0.9996908435122602
weight,MEAN,102,6,3.6371351498802776e-05,0.9997272148637589
weight,MEAN,103,12,7.274270299760555e-05,0.9997999575667565
weight,MEAN,104,12,7.274270299760555e-05,0.9998727002697542
weight,MEAN,105,3,1.8185675749401388e-05,0.9998908859455036
weight,MEAN,106,5,3.0309459582335645e-05,0.999921195405086
weight,MEAN,107,2,1.212378383293426e-05,0.9999333191889188
weight,MEAN,109,1,6.06189191646713e-06,0.9999393810808354
weight,MEAN,110,2,1.212378383293426e-05,0.9999515048646682
weight,MEAN,112,1,6.06189191646713e-06,0.9999575667565848
weight,MEAN,123,1,6.06189191646713e-06,0.9999636286485012
weight,MEAN,125,3,1.8185675749401388e-05,0.9999818143242506
weight,MEAN,126,3,1.8185675749401388e-05,1.0
weight,NEIGHBOR,0,1044751,0.18247185508596037,0.18247185508596037
weight,NEIGHBOR,1,900080,0.15720422122187125,0.3396760763078316
weight,NEIGHBOR,2,765029,0.1336167764611445,0.4732928527689761
weight,NEIGHBOR,3,629375,0.10992401423375169,0.5832168670027278
weight,NEIGHBOR,4,505226,0.08824066735294765,0.6714575343556755
