id,name,type,bitwidth,num_elements,regularBins,bypassBins,totalBins,ops_total,mem,branches,loops,bins_per_weight,ops_per_bin,branches_per_bin,mem_per_bin,ops_per_weight
0,bert.embeddings.word_embeddings.weight,Weight,8,23440896,120095048,60122078,180217126,1957152989,257636400,567045230,79895881,7.688150060475504,10.859972259240223,3.146455847930901,1.429588883800089,83.49309638164002
1,bert.embeddings.position_embeddings.weight,Weight,8,393216,1918829,144408,2063237,27001366,4079501,8466082,868319,5.247083028157552,13.086895010122443,4.103300784156159,1.9772333474050727,68.66802469889323
2,bert.embeddings.token_type_embeddings.weight,Weight,8,1536,5999,416,6415,86779,12905,27499,2366,4.176432291666667,13.52751363990647,4.286671862821512,2.0116913484021826,56.496744791666664
3,bert.embeddings.LayerNorm.weight,Weight,12,768,0,9217,9217,74064,1152,15343,9984,12.001302083333334,8.03558641640447,1.6646414234566562,0.12498643810350439,96.4375
4,bert.embeddings.LayerNorm.bias,Bias,12,768,0,9217,9217,75693,1152,15886,9984,12.001302083333334,8.212325051535206,1.7235543018335684,0.12498643810350439,98.55859375
5,bert.encoder.layer.0.attention.self.query.weight,Weight,8,589824,3019623,1579483,4599106,49595769,6481678,14328500,2040462,7.797420925564236,10.783784718160442,3.1154967943769942,1.4093343358470103,84.08570861816406
6,bert.encoder.layer.0.attention.self.query.bias,Bias,12,768,0,9217,9217,73085,1153,15017,9984,12.001302083333334,7.929369643050884,1.6292719973961158,0.12509493327546925,95.16276041666667
7,bert.encoder.layer.0.attention.self.key.weight,Weight,8,589824,3021026,1542524,4563550,49456505,6481957,14315799,2028313,7.73713853624132,10.837287857041119,3.136987433029111,1.420376023052229,83.84959750705295
8,bert.encoder.layer.0.attention.self.key.bias,Bias,12,768,0,9217,9217,73214,1153,15060,9984,12.001302083333334,7.94336552023435,1.6339372897906044,0.12509493327546925,95.33072916666667
9,bert.encoder.layer.0.attention.self.value.weight,Weight,8,589824,3017246,969580,3986826,46569990,6432193,13848446,1763494,6.759348551432292,11.680968770646123,3.473551642334027,1.6133618572769417,78.9557393391927
10,bert.encoder.layer.0.attention.self.value.bias,Bias,12,768,0,9217,9217,16518,1152,3457,1536,12.001302083333334,1.7921232505153522,0.37506780948247803,0.12498643810350439,21.5078125
11,bert.encoder.layer.0.attention.output.dense.weight,Weight,12,589824,0,7078176,7078176,12683016,884772,2654532,1179648,12.00048828125,1.7918480693331162,0.3750305163364121,0.125,21.5030517578125
12,bert.encoder.layer.0.attention.output.dense.bias,Bias,12,768,0,9217,9217,16518,1152,3457,1536,12.001302083333334,1.7921232505153522,0.37506780948247803,0.12498643810350439,21.5078125
13,bert.encoder.layer.0.attention.output.LayerNorm.weight,Weight,12,768,0,9217,9217,16518,1152,3457,1536,12.001302083333334,1.7921232505153522,0.37506780948247803,0.12498643810350439,21.5078125
14,bert.encoder.layer.0.attention.output.LayerNorm.bias,Bias,12,768,0,9217,9217,16518,1152,3457,1536,12.001302083333334,1.7921232505153522,0.37506780948247803,0.12498643810350439,21.5078125
15,bert.encoder.layer.0.intermediate.dense.weight,Weight,12,2359296,0,28312704,28312704,50732064,3539088,10618128,4718592,12.00048828125,1.7918480693331162,0.3750305163364121,0.125,21.5030517578125
16,bert.encoder.layer.0.intermediate.dense.bias,Bias,12,3072,0,36866,36866,66062,4609,13827,6144,12.000651041666666,1.7919492215049098,0.3750610318450605,0.12502034394835349,21.504557291666668
