id,name,type,bitwidth,num_elements,regularBins,bypassBins,totalBins,ops_total,mem,branches,loops,bins_per_weight,ops_per_bin,branches_per_bin,mem_per_bin,ops_per_weight
0,features.0.0.weight,weight,8,864,4298,3127,7425,79392,9382,22438,3923,8.59375,10.692525252525252,3.021952861952862,1.2635690235690236,91.88888888888889
1,features.0.1.weight,weight,8,32,167,136,303,3141,365,867,163,9.46875,10.366336633663366,2.8613861386138613,1.2046204620462047,98.15625
2,features.0.1.bias,bias,12,32,0,385,385,3001,48,610,416,12.03125,7.794805194805194,1.5844155844155845,0.12467532467532468,93.78125
3,features.1.0.block.0.0.weight,weight,8,288,1358,822,2180,24187,2973,6999,1130,7.569444444444445,11.094954128440367,3.210550458715596,1.3637614678899082,83.98263888888889
4,features.1.0.block.0.1.weight,weight,8,32,0,257,257,422,32,97,32,8.03125,1.6420233463035019,0.377431906614786,0.1245136186770428,13.1875
5,features.1.0.block.0.1.bias,bias,12,32,0,385,385,694,48,145,64,12.03125,1.8025974025974025,0.37662337662337664,0.12467532467532468,21.6875
6,features.1.0.block.1.fc1.weight,weight,8,256,1308,1121,2429,25046,2847,6886,1269,9.48828125,10.311239193083573,2.8349114862083162,1.1720872787155208,97.8359375
7,features.1.0.block.1.fc1.bias,bias,12,8,0,97,97,745,12,150,104,12.125,7.680412371134021,1.5463917525773196,0.12371134020618557,93.125
8,features.1.0.block.1.fc2.weight,weight,8,256,1289,1168,2457,25467,2823,7061,1343,9.59765625,10.365079365079366,2.873829873829874,1.1489621489621489,99.48046875
9,features.1.0.block.1.fc2.bias,bias,12,32,0,385,385,3001,48,610,416,12.03125,7.794805194805194,1.5844155844155845,0.12467532467532468,93.78125
10,features.1.0.block.2.0.weight,weight,8,512,0,4097,4097,32322,512,6677,4096,8.001953125,7.8891872101537714,1.629729070051257,0.12496948987063705,63.12890625
11,features.1.0.block.2.1.weight,weight,12,16,0,193,193,1553,24,322,208,12.0625,8.046632124352332,1.6683937823834196,0.12435233160621761,97.0625
