id,name,type,bitwidth,num_elements,regularBins,bypassBins,totalBins,ops_total,mem,branches,loops,bins_per_weight,ops_per_bin,branches_per_bin,mem_per_bin,ops_per_weight
0,transformer.tokens_embed.weight,Weight,8,31087104,16768163,237480230,254248393,1954726044,64438498,427946539,222825901,8.178580835320009,7.688253290159438,1.6831828667644715,0.25344702178707573,62.87900101598399
1,transformer.positions_embed.weight,Weight,8,393216,1904779,687286,2592065,30356215,4095237,9183407,1245247,6.591962178548177,11.711209016749194,3.542892250001447,1.5799129265662706,77.19984690348308
2,transformer.h.0.attn.c_attn.weight,Weight,8,1769472,1122829,13348077,14470906,86607514,4003389,19718807,8997980,8.1780926739728,5.984940680286362,1.3626518616042422,0.2766508883410617,48.94539953161169
3,transformer.h.0.attn.c_attn.bias,Bias,16,2304,0,36866,36866,280224,4608,58846,39168,16.000868055555557,7.601150111213585,1.5962133130798026,0.12499321868388216,121.625
4,transformer.h.0.attn.c_proj.weight,Weight,8,589824,3012924,1101656,4114580,47451493,6441423,14113651,1891467,6.975945366753472,11.532524097234711,3.430155933290883,1.5655116682626173,80.45025804307726
5,transformer.h.0.attn.c_proj.bias,Bias,16,768,0,12289,12289,17670,1536,3841,1536,16.001302083333332,1.4378712669867362,0.3125559443404671,0.12498982830173326,23.0078125
6,transformer.h.0.ln_1.weight,Weight,16,768,0,12289,12289,17670,1536,3841,1536,16.001302083333332,1.4378712669867362,0.3125559443404671,0.12498982830173326,23.0078125
7,transformer.h.0.ln_1.bias,Bias,16,768,0,12289,12289,17672,1537,3842,1536,16.001302083333332,1.438034014159004,0.31263731792660104,0.1250712018878672,23.010416666666668
8,transformer.h.0.mlp.c_fc.weight,Weight,8,2359296,12031164,7685835,19716999,204832072,25948003,58402694,8847241,8.35715357462565,10.388602849754164,2.962047824823646,1.3160219260547714,86.81914944118924
9,transformer.h.0.mlp.c_fc.bias,Bias,16,3072,0,49154,49154,390174,6144,83976,52224,16.000651041666668,7.937787362167881,1.7084265776945926,0.12499491394393132,127.009765625
10,transformer.h.0.mlp.c_proj.weight,Weight,8,2359296,12042235,7084086,19126321,201159084,25917270,57646174,8432801,8.10679160224067,10.517395582767852,3.0139708520002357,1.3550577761400115,85.26233418782552
11,transformer.h.0.mlp.c_proj.bias,Bias,16,768,0,12289,12289,17670,1536,3841,1536,16.001302083333332,1.4378712669867362,0.3125559443404671,0.12498982830173326,23.0078125
12,transformer.h.0.ln_2.weight,Weight,16,768,0,12289,12289,17670,1536,3841,1536,16.001302083333332,1.4378712669867362,0.3125559443404671,0.12498982830173326,23.0078125
13,transformer.h.0.ln_2.bias,Bias,16,768,0,12289,12289,17670,1536,3841,1536,16.001302083333332,1.4378712669867362,0.3125559443404671,0.12498982830173326,23.0078125
14,transformer.h.1.attn.c_attn.weight,Weight,8,1769472,8998169,6779257,15777426,159967323,19518164,45468181,7451298,8.91645982530382,10.139000049818012,2.881850372804791,1.2370943143704176,90.40398661295573
15,transformer.h.1.attn.c_attn.bias,Bias,16,2304,0,36866,36866,280929,4608,59081,39168,16.000868055555557,7.620273422665871,1.6025877502305648,0.12499321868388216,121.93098958333333
16,transformer.h.1.attn.c_proj.weight,Weight,8,589824,3018275,1401377,4419652,49026145,6470147,14341127,2021425,7.493170844184028,11.092761375782528,3.244854345998282,1.4639494240723026,83.11995612250433
17,transformer.h.1.attn.c_proj.bias,Bias,16,768,0,12289,12289,94725,1536,20054,13056,16.001302083333332,7.708112946537554,1.6318658963300512,0.12498982830173326,123.33984375
18,transformer.h.1.ln_1.weight,Weight,16,768,0,12289,12289,91341,1536,18926,13056,16.001302083333332,7.432744731060298,1.540076491170966,0.12498982830173326,118.93359375
19,transformer.h.1.ln_1.bias,Bias,16,768,0,12289,12289,95562,1536,20333,13056,16.001302083333332,7.776222638131663,1.6545691268614209,0.12498982830173326,124.4296875
20,transformer.h.1.mlp.c_fc.weight,Weight,8,2359296,12033301,8230790,20264091,208580752,26009405,59320117,9303333,8.589041392008463,10.293121561682684,2.9273514908712164,1.283521920623037,88.40804714626736
21,transformer.h.1.mlp.c_fc.bias,Bias,16,3072,0,49154,49154,389366,6145,83707,52224,16.000651041666668,7.9213492289539,1.7029539813646906,0.12501525816820605,126.74674479166667
22,transformer.h.1.mlp.c_proj.weight,Weight,8,2359296,11940759,7882864,19823623,204772686,25787474,58412845,8978881,8.402346716986763,10.329730645099536,2.9466281214084833,1.300845662773147,86.79397837320964
23,transformer.h.1.mlp.c_proj.bias,Bias,16,768,0,12289,12289,94851,1536,20096,13056,16.001302083333332,7.71836601839043,1.6352835869476767,0.12498982830173326,123.50390625
24,transformer.h.1.ln_2.weight,Weight,16,768,0,12289,12289,94002,1536,19813,13056,16.001302083333332,7.649279843762715,1.6122548620717716,0.12498982830173326,122.3984375
25,transformer.h.1.ln_2.bias,Bias,16,768,0,12289,12289,99261,1536,21566,13056,16.001302083333332,8.07722353324111,1.75490275856457,0.12498982830173326,129.24609375
26,transformer.h.2.attn.c_attn.weight,Weight,8,1769472,8984430,6701355,15685785,159367862,19480552,45279305,7392607,8.864669799804688,10.160018258569782,2.8866457751397205,1.2419239457891333,90.06520702220776
27,transformer.h.2.attn.c_attn.bias,Bias,16,2304,0,36866,36866,281640,4608,59318,39168,16.000868055555557,7.639559485704986,1.6090164379102696,0.12499321868388216,122.23958333333333
28,transformer.h.2.attn.c_proj.weight,Weight,8,589824,3013332,1485199,4498531,48955104,6463341,14211909,1986830,7.626903957790798,10.882464520084445,3.159233314164113,1.4367670246131459,82.99951171875
29,transformer.h.2.attn.c_proj.bias,Bias,16,768,0,12289,12289,95190,1536,20209,13056,16.001302083333332,7.745951664089836,1.644478802180812,0.12498982830173326,123.9453125
30,transformer.h.2.ln_1.weight,Weight,16,768,0,12289,12289,91104,1536,18847,13056,16.001302083333332,7.413459191146554,1.5336479778663845,0.12498982830173326,118.625
