id,name,type,bitwidth,num_elements,regularBins,bypassBins,totalBins,ops_total,mem,branches,loops,bins_per_weight,ops_per_bin,branches_per_bin,mem_per_bin,ops_per_weight
0,conv1_weight,Weight,8,9408,45811,31180,76991,824303,135920,252041,37590,8.183567176870747,10.706485173591718,3.273642373783949,1.7654011507838578,87.61724064625851
1,bn1_weight,Weight,8,64,329,260,589,6057,956,1801,284,9.203125,10.28353140916808,3.057724957555178,1.6230899830220713,94.640625
2,bn1_bias,Bias,8,64,0,513,513,838,64,193,64,8.015625,1.6335282651072125,0.3762183235867446,0.12475633528265107,13.09375
3,layer1_0_conv1_weight,Weight,8,4096,18951,9846,28797,330207,57351,104204,14530,7.030517578125,11.466715282841962,3.6185713789630864,1.9915616210021878,80.616943359375
4,layer1_0_bn1_weight,Weight,8,64,0,513,513,3900,64,787,512,8.015625,7.60233918128655,1.53411306042885,0.12475633528265107,60.9375
5,layer1_0_bn1_bias,Bias,8,64,0,513,513,3945,64,802,512,8.015625,7.690058479532164,1.5633528265107213,0.12475633528265107,61.640625
6,layer1_0_conv2_weight,Weight,8,36864,163590,42556,206146,2584728,502485,845719,91390,5.592068142361111,12.538336906852425,4.10252442443705,2.437520010089936,70.115234375
7,layer1_0_bn2_weight,Weight,8,64,321,329,650,6339,921,1821,322,10.15625,9.752307692307692,2.8015384615384615,1.416923076923077,99.046875
8,layer1_0_bn2_bias,Bias,8,64,0,513,513,4029,64,830,512,8.015625,7.853801169590644,1.6179337231968811,0.12475633528265107,62.953125
9,layer1_0_conv3_weight,Weight,8,16384,69517,28003,97520,1162304,212288,370848,44980,5.9521484375,11.918621821164889,3.8027891714520097,2.1768662838392125,70.94140625
10,layer1_0_bn3_weight,Weight,8,256,0,2049,2049,3334,256,769,256,8.00390625,1.627135187896535,0.3753050268423621,0.12493899463152758,13.0234375
11,layer1_0_bn3_bias,Bias,8,256,0,2049,2049,3334,256,769,256,8.00390625,1.627135187896535,0.3753050268423621,0.12493899463152758,13.0234375
12,layer1_0_downsample_0_weight,Weight,8,16384,74608,37052,111660,1260963,224306,394672,50633,6.815185546875,11.292880171950564,3.5345871395307182,2.008830377933011,76.96307373046875
13,layer1_0_downsample_1_weight,Weight,8,256,0,2049,2049,3334,256,769,256,8.00390625,1.627135187896535,0.3753050268423621,0.12493899463152758,13.0234375
14,layer1_0_downsample_1_bias,Bias,8,256,0,2049,2049,3334,256,769,256,8.00390625,1.627135187896535,0.3753050268423621,0.12493899463152758,13.0234375
15,layer1_1_conv1_weight,Weight,8,16384,72455,25541,97996,1181094,219969,377553,44248,5.981201171875,12.052471529450182,3.8527388873015225,2.244673251969468,72.0882568359375
16,layer1_1_bn1_weight,Weight,8,64,0,513,513,3987,64,816,512,8.015625,7.771929824561403,1.590643274853801,0.12475633528265107,62.296875
17,layer1_1_bn1_bias,Bias,8,64,0,513,513,4005,64,822,512,8.015625,7.807017543859649,1.6023391812865497,0.12475633528265107,62.578125
18,layer1_1_conv2_weight,Weight,8,36864,177158,50282,227440,2801931,535765,906492,101602,6.169704861111111,12.319429300035175,3.9856313753077734,2.35563225466057,76.00724283854167
19,layer1_1_bn2_weight,Weight,8,64,320,215,535,5606,923,1658,231,8.359375,10.478504672897197,3.0990654205607475,1.7252336448598131,87.59375
20,layer1_1_bn2_bias,Bias,8,64,0,513,513,4089,64,850,512,8.015625,7.970760233918129,1.6569200779727096,0.12475633528265107,63.890625
21,layer1_1_conv3_weight,Weight,8,16384,72699,26114,98813,1194311,221175,383053,44507,6.03106689453125,12.086577677026302,3.8765445842146278,2.238318844686428,72.89495849609375
22,layer1_1_bn3_weight,Weight,8,256,0,2049,2049,3334,256,769,256,8.00390625,1.627135187896535,0.3753050268423621,0.12493899463152758,13.0234375
23,layer1_1_bn3_bias,Bias,8,256,0,2049,2049,3334,256,769,256,8.00390625,1.627135187896535,0.3753050268423621,0.12493899463152758,13.0234375
24,layer1_2_conv1_weight,Weight,8,16384,80518,26073,106591,1290025,241798,413312,48185,6.50579833984375,12.102569635335065,3.877550637483465,2.2684654426733966,78.73687744140625
