id,name,type,bitwidth,num_elements,regularBins,bypassBins,totalBins,ops_total,mem,branches,loops,bins_per_weight,ops_per_bin,branches_per_bin,mem_per_bin,ops_per_weight
0,class_token,Other,12,768,4976,3283,8259,89466,14195,27272,4392,10.75390625,10.832546313112967,3.302094684586512,1.7187310812447028,116.4921875
1,conv_proj.weight,Weight,8,589824,1601437,83140,1684577,24483828,5359685,8442382,501755,2.8560672336154513,14.534110343427459,5.011573825357939,3.181620667977777,41.510396321614586
2,conv_proj.bias,Bias,12,768,0,9217,9217,72165,1152,14710,9984,12.001302083333334,7.829554084843225,1.5959639796029077,0.12498643810350439,93.96484375
3,encoder.pos_embedding,Other,12,151296,0,1815626,1815626,14374490,226954,2950658,1966848,12.00048910744501,7.917098565453458,1.6251463682498488,0.1250004130806675,95.00905509729273
4,encoder.layers.encoder_layer_0.ln_1.weight,Weight,12,768,0,9217,9217,72249,1152,14738,9984,12.001302083333334,7.838667679288272,1.5990018444179235,0.12498643810350439,94.07421875
5,encoder.layers.encoder_layer_0.ln_1.bias,Bias,12,768,0,9217,9217,72522,1152,14829,9984,12.001302083333334,7.868286861234675,1.6088749050667246,0.12498643810350439,94.4296875
6,encoder.layers.encoder_layer_0.self_attention.in_proj_weight,Weight,8,1769472,8778692,2781526,11560218,140329584,26547692,45386653,5278817,6.533145480685764,12.13900845122471,3.9261070163209726,2.2964698416586953,79.305908203125
7,encoder.layers.encoder_layer_0.self_attention.in_proj_bias,Bias,12,2304,1691,26103,27794,227159,7665,49255,28283,12.063368055555555,8.172950996617976,1.772145067280708,0.2757789450960639,98.59331597222223
8,encoder.layers.encoder_layer_0.self_attention.out_proj.weight,Weight,8,589824,2897430,395233,3292663,43347939,8877467,14499199,1398831,5.582450018988715,13.165009294908103,4.403487086288515,2.696135924022592,73.49300638834636
9,encoder.layers.encoder_layer_0.self_attention.out_proj.bias,Bias,12,768,0,9217,9217,70167,1152,14044,9984,12.001302083333334,7.612780731257459,1.5237061950743191,0.12498643810350439,91.36328125
10,encoder.layers.encoder_layer_0.ln_2.weight,Weight,12,768,0,9217,9217,70845,1152,14270,9984,12.001302083333334,7.686340457849625,1.5482261039383747,0.12498643810350439,92.24609375
11,encoder.layers.encoder_layer_0.ln_2.bias,Bias,12,768,0,9217,9217,72875,1153,14947,9984,12.001302083333334,7.906585656938266,1.6216773353585765,0.12509493327546925,94.88932291666667
12,encoder.layers.encoder_layer_0.mlp.0.weight,Weight,8,2359296,11078181,2134085,13212266,170351683,33958971,56366986,5639137,5.600088331434462,12.893449390134894,4.2662618206445435,2.570260922691081,72.2044554816352
13,encoder.layers.encoder_layer_0.mlp.0.bias,Bias,12,3072,0,36866,36866,281895,4608,56587,39936,12.000651041666666,7.646476428145174,1.5349373406390712,0.12499321868388216,91.7626953125
14,encoder.layers.encoder_layer_0.mlp.3.weight,Weight,8,2359296,8970108,558317,9528425,134181084,28552718,45871969,3359324,4.038672977023655,14.08218923904003,4.814223651862716,2.996583170880812,56.87335713704427
15,encoder.layers.encoder_layer_0.mlp.3.bias,Bias,12,768,0,9217,9217,74184,1152,15383,9984,12.001302083333334,8.048605837040252,1.66898123033525,0.12498643810350439,96.59375
16,encoder.layers.encoder_layer_1.ln_1.weight,Weight,12,768,0,9217,9217,72099,1152,14688,9984,12.001302083333334,7.822393403493544,1.593577085819681,0.12498643810350439,93.87890625
17,encoder.layers.encoder_layer_1.ln_1.bias,Bias,12,768,0,9217,9217,72048,1152,14671,9984,12.001302083333334,7.816860149723337,1.5917326678962787,0.12498643810350439,93.8125
18,encoder.layers.encoder_layer_1.self_attention.in_proj_weight,Weight,8,1769472,8824741,2821711,11646452,140791856,26557183,45291748,5246853,6.581879792390047,12.088819496272341,3.888888049338975,2.280280981710138,79.56715675636575
19,encoder.layers.encoder_layer_1.self_attention.in_proj_bias,Bias,12,2304,1625,25738,27363,223818,7597,48600,28026,11.876302083333334,8.179585571757483,1.7761210393597193,0.27763768592625077,97.14322916666667
20,encoder.layers.encoder_layer_1.self_attention.out_proj.weight,Weight,8,589824,2768846,348074,3116920,41550270,8554957,13979238,1302525,5.284491644965278,13.330553880112419,4.484952453062639,2.744682892085777,70.44520060221355
21,encoder.layers.encoder_layer_1.self_attention.out_proj.bias,Bias,12,768,0,9217,9217,72093,1152,14686,9984,12.001302083333334,7.821742432461756,1.5933600954757514,0.12498643810350439,93.87109375
22,encoder.layers.encoder_layer_1.ln_2.weight,Weight,12,768,0,9217,9217,72260,1153,14742,9984,12.001302083333334,7.839861126179885,1.5994358251057827,0.12509493327546925,94.08854166666667
23,encoder.layers.encoder_layer_1.ln_2.bias,Bias,12,768,0,9217,9217,72810,1152,14925,9984,12.001302083333334,7.899533470760551,1.61929044157535,0.12498643810350439,94.8046875
24,encoder.layers.encoder_layer_1.mlp.0.weight,Weight,8,2359296,11841869,4311615,16153484,192558558,35439833,61367035,7469239,6.846739027235243,11.920558933292657,3.7989968603677076,2.1939436099357885,81.61695607503255
25,encoder.layers.encoder_layer_1.mlp.0.bias,Bias,12,3072,0,36866,36866,299811,4608,62559,39936,12.000651041666666,8.132452666413498,1.6969294200618457,0.12499321868388216,97.5947265625
26,encoder.layers.encoder_layer_1.mlp.3.weight,Weight,8,2359296,10297418,1150214,11447632,154521796,32053695,52078134,4528716,4.852138943142361,13.498144943862625,4.5492494867060715,2.8000284250926306,65.494874742296
27,encoder.layers.encoder_layer_1.mlp.3.bias,Bias,12,768,0,9217,9217,74640,1152,15535,9984,12.001302083333334,8.098079635456223,1.685472496473907,0.12498643810350439,97.1875
28,encoder.layers.encoder_layer_2.ln_1.weight,Weight,12,768,0,9217,9217,72045,1152,14670,9984,12.001302083333334,7.816534664207443,1.5916241727243137,0.12498643810350439,93.80859375
29,encoder.layers.encoder_layer_2.ln_1.bias,Bias,12,768,0,9217,9217,72032,1153,14666,9984,12.001302083333334,7.8151242269719,1.5911901920364544,0.12509493327546925,93.79166666666667
30,encoder.layers.encoder_layer_2.self_attention.in_proj_weight,Weight,8,1769472,8919431,2968107,11887538,142866335,26718827,45711154,5376322,6.7181272153501155,12.018160110192708,3.8453003473048835,2.247633361929106,80.73952851472077
31,encoder.layers.encoder_layer_2.self_attention.in_proj_bias,Bias,12,2304,1689,25798,27487,74801,7665,18168,5495,11.930121527777779,2.721322807145196,0.6609670025830393,0.2788590970276858,32.46571180555556
