tensor_name,tensor_type,chunks,used_chunks,skipped_chunks,pred_none,pred_mean,pred_neighbor,pred_none_pct,pred_mean_pct,pred_neighbor_pct,skip_pct
bert_embeddings_LayerNorm_bias,bias,1,0,1,0,0,0,0,0,0,1.0
bert_embeddings_LayerNorm_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
bert_embeddings_position_embeddings_weight,weight,192,192,0,1,0,191,0.005208333333333333,0.0,0.9947916666666666,0.0
bert_embeddings_position_ids,buffer,1,1,0,0,0,1,0.0,0.0,1.0,0.0
bert_embeddings_token_type_embeddings_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
bert_embeddings_token_type_ids,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
bert_embeddings_word_embeddings_weight,weight,11446,10867,579,0,10866,1,0.0,0.9999079782828748,9.202171712524156e-05,0.05058535733007164
bert_encoder_layer_0_attention_output_LayerNorm_bias,bias,1,0,1,0,0,0,0,0,0,1.0
bert_encoder_layer_0_attention_output_LayerNorm_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
bert_encoder_layer_0_attention_output_dense_bias,bias,1,0,1,0,0,0,0,0,0,1.0
bert_encoder_layer_0_attention_output_dense_weight,weight,288,288,0,283,0,5,0.9826388888888888,0.0,0.017361111111111112,0.0
bert_encoder_layer_0_attention_self_key_bias,bias,1,0,1,0,0,0,0,0,0,1.0
bert_encoder_layer_0_attention_self_key_weight,weight,288,288,0,279,0,9,0.96875,0.0,0.03125,0.0
bert_encoder_layer_0_attention_self_query_bias,bias,1,0,1,0,0,0,0,0,0,1.0
bert_encoder_layer_0_attention_self_query_weight,weight,288,288,0,288,0,0,1.0,0.0,0.0,0.0
bert_encoder_layer_0_attention_self_value_bias,bias,1,0,1,0,0,0,0,0,0,1.0
bert_encoder_layer_0_attention_self_value_weight,weight,288,2,286,2,0,0,1.0,0.0,0.0,0.9930555555555556
bert_encoder_layer_0_intermediate_dense_bias,bias,2,0,2,0,0,0,0,0,0,1.0
bert_encoder_layer_0_intermediate_dense_weight,weight,1152,189,963,189,0,0,1.0,0.0,0.0,0.8359375
bert_encoder_layer_0_output_LayerNorm_bias,bias,1,0,1,0,0,0,0,0,0,1.0
bert_encoder_layer_0_output_LayerNorm_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
bert_encoder_layer_0_output_dense_bias,bias,1,0,1,0,0,0,0,0,0,1.0
bert_encoder_layer_0_output_dense_weight,weight,1152,1152,0,1056,6,90,0.9166666666666666,0.005208333333333333,0.078125,0.0
bert_encoder_layer_10_attention_output_LayerNorm_bias,bias,1,0,1,0,0,0,0,0,0,1.0
bert_encoder_layer_10_attention_output_LayerNorm_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
