tensor_name,tensor_type,chunks,used_chunks,skipped_chunks,pred_none,pred_mean,pred_neighbor,pred_none_pct,pred_mean_pct,pred_neighbor_pct,skip_pct
transformer_h_0_attn_c_attn_bias,bias,2,0,2,0,0,0,0,0,0,1.0
transformer_h_0_attn_c_attn_weight,weight,864,327,537,307,20,0,0.9388379204892966,0.06116207951070336,0.0,0.6215277777777778
transformer_h_0_attn_c_proj_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_0_attn_c_proj_weight,weight,288,288,0,288,0,0,1.0,0.0,0.0,0.0
transformer_h_0_ln_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_0_ln_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
transformer_h_0_ln_2_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_0_ln_2_weight,weight,1,0,1,0,0,0,0,0,0,1.0
transformer_h_0_mlp_c_fc_bias,bias,2,0,2,0,0,0,0,0,0,1.0
transformer_h_0_mlp_c_fc_weight,weight,1152,1152,0,461,686,5,0.4001736111111111,0.5954861111111112,0.004340277777777778,0.0
transformer_h_0_mlp_c_proj_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_0_mlp_c_proj_weight,weight,1152,1152,0,1152,0,0,1.0,0.0,0.0,0.0
transformer_h_10_attn_c_attn_bias,bias,2,0,2,0,0,0,0,0,0,1.0
transformer_h_10_attn_c_attn_weight,weight,864,863,1,857,5,1,0.9930475086906141,0.005793742757821553,0.0011587485515643105,0.0011574074074074073
transformer_h_10_attn_c_proj_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_10_attn_c_proj_weight,weight,288,288,0,288,0,0,1.0,0.0,0.0,0.0
transformer_h_10_ln_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_10_ln_1_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
transformer_h_10_ln_2_bias,bias,1,1,0,0,1,0,0.0,1.0,0.0,0.0
transformer_h_10_ln_2_weight,weight,1,0,1,0,0,0,0,0,0,1.0
transformer_h_10_mlp_c_fc_bias,bias,2,0,2,0,0,0,0,0,0,1.0
transformer_h_10_mlp_c_fc_weight,weight,1152,1152,0,785,365,2,0.6814236111111112,0.3168402777777778,0.001736111111111111,0.0
transformer_h_10_mlp_c_proj_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_10_mlp_c_proj_weight,weight,1152,1152,0,1152,0,0,1.0,0.0,0.0,0.0
transformer_h_11_attn_c_attn_bias,bias,2,0,2,0,0,0,0,0,0,1.0
transformer_h_11_attn_c_attn_weight,weight,864,861,3,857,3,1,0.9953542392566783,0.003484320557491289,0.0011614401858304297,0.003472222222222222
transformer_h_11_attn_c_proj_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_11_attn_c_proj_weight,weight,288,288,0,288,0,0,1.0,0.0,0.0,0.0
transformer_h_11_ln_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_11_ln_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
transformer_h_11_ln_2_bias,bias,0,0,0,0,0,0,0,0,0,0
transformer_h_11_ln_2_weight,weight,1,0,1,0,0,0,0,0,0,1.0
transformer_h_11_mlp_c_fc_bias,bias,2,0,2,0,0,0,0,0,0,1.0
transformer_h_11_mlp_c_fc_weight,weight,1152,1150,2,825,325,0,0.717391304347826,0.2826086956521739,0.0,0.001736111111111111
transformer_h_11_mlp_c_proj_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_11_mlp_c_proj_weight,weight,1152,1152,0,1152,0,0,1.0,0.0,0.0,0.0
transformer_h_1_attn_c_attn_bias,bias,2,0,2,0,0,0,0,0,0,1.0
transformer_h_1_attn_c_attn_weight,weight,864,863,1,860,3,0,0.996523754345307,0.0034762456546929316,0.0,0.0011574074074074073
transformer_h_1_attn_c_proj_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_1_attn_c_proj_weight,weight,288,288,0,287,1,0,0.9965277777777778,0.003472222222222222,0.0,0.0
transformer_h_1_ln_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_1_ln_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
transformer_h_1_ln_2_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_1_ln_2_weight,weight,1,0,1,0,0,0,0,0,0,1.0
transformer_h_1_mlp_c_fc_bias,bias,2,0,2,0,0,0,0,0,0,1.0
transformer_h_1_mlp_c_fc_weight,weight,1152,1152,0,518,633,1,0.4496527777777778,0.5494791666666666,0.0008680555555555555,0.0
transformer_h_1_mlp_c_proj_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_1_mlp_c_proj_weight,weight,1152,1149,3,1138,11,0,0.9904264577893821,0.009573542210617928,0.0,0.0026041666666666665
transformer_h_2_attn_c_attn_bias,bias,2,0,2,0,0,0,0,0,0,1.0
transformer_h_2_attn_c_attn_weight,weight,864,863,1,861,2,0,0.9976825028968713,0.002317497103128621,0.0,0.0011574074074074073
transformer_h_2_attn_c_proj_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_2_attn_c_proj_weight,weight,288,288,0,286,2,0,0.9930555555555556,0.006944444444444444,0.0,0.0
transformer_h_2_ln_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_2_ln_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
transformer_h_2_ln_2_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_2_ln_2_weight,weight,1,0,1,0,0,0,0,0,0,1.0
transformer_h_2_mlp_c_fc_bias,bias,2,0,2,0,0,0,0,0,0,1.0
transformer_h_2_mlp_c_fc_weight,weight,1152,1152,0,555,596,1,0.4817708333333333,0.5173611111111112,0.0008680555555555555,0.0
transformer_h_2_mlp_c_proj_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_2_mlp_c_proj_weight,weight,1152,1152,0,1139,13,0,0.9887152777777778,0.011284722222222222,0.0,0.0
transformer_h_3_attn_c_attn_bias,bias,2,0,2,0,0,0,0,0,0,1.0
transformer_h_3_attn_c_attn_weight,weight,864,862,2,859,3,0,0.9965197215777262,0.0034802784222737818,0.0,0.0023148148148148147
transformer_h_3_attn_c_proj_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_3_attn_c_proj_weight,weight,288,288,0,286,2,0,0.9930555555555556,0.006944444444444444,0.0,0.0
transformer_h_3_ln_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_3_ln_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
transformer_h_3_ln_2_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_3_ln_2_weight,weight,1,0,1,0,0,0,0,0,0,1.0
transformer_h_3_mlp_c_fc_bias,bias,2,0,2,0,0,0,0,0,0,1.0
transformer_h_3_mlp_c_fc_weight,weight,1152,1152,0,501,651,0,0.4348958333333333,0.5651041666666666,0.0,0.0
transformer_h_3_mlp_c_proj_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_3_mlp_c_proj_weight,weight,1152,1147,5,1142,4,1,0.995640802092415,0.0034873583260680036,0.0008718395815170009,0.004340277777777778
transformer_h_4_attn_c_attn_bias,bias,2,0,2,0,0,0,0,0,0,1.0
transformer_h_4_attn_c_attn_weight,weight,864,863,1,861,2,0,0.9976825028968713,0.002317497103128621,0.0,0.0011574074074074073
transformer_h_4_attn_c_proj_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_4_attn_c_proj_weight,weight,288,288,0,286,2,0,0.9930555555555556,0.006944444444444444,0.0,0.0
transformer_h_4_ln_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_4_ln_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
transformer_h_4_ln_2_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_4_ln_2_weight,weight,1,0,1,0,0,0,0,0,0,1.0
transformer_h_4_mlp_c_fc_bias,bias,2,0,2,0,0,0,0,0,0,1.0
transformer_h_4_mlp_c_fc_weight,weight,1152,1152,0,501,651,0,0.4348958333333333,0.5651041666666666,0.0,0.0
transformer_h_4_mlp_c_proj_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_4_mlp_c_proj_weight,weight,1152,1151,1,1149,2,0,0.998262380538662,0.0017376194613379669,0.0,0.0008680555555555555
transformer_h_5_attn_c_attn_bias,bias,2,0,2,0,0,0,0,0,0,1.0
transformer_h_5_attn_c_attn_weight,weight,864,863,1,861,2,0,0.9976825028968713,0.002317497103128621,0.0,0.0011574074074074073
transformer_h_5_attn_c_proj_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_5_attn_c_proj_weight,weight,288,288,0,288,0,0,1.0,0.0,0.0,0.0
transformer_h_5_ln_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_5_ln_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
transformer_h_5_ln_2_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_5_ln_2_weight,weight,1,0,1,0,0,0,0,0,0,1.0
transformer_h_5_mlp_c_fc_bias,bias,2,0,2,0,0,0,0,0,0,1.0
transformer_h_5_mlp_c_fc_weight,weight,1152,1151,1,594,556,1,0.5160729800173762,0.48305821025195483,0.0008688097306689834,0.0008680555555555555
transformer_h_5_mlp_c_proj_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_5_mlp_c_proj_weight,weight,1152,1152,0,1150,2,0,0.9982638888888888,0.001736111111111111,0.0,0.0
transformer_h_6_attn_c_attn_bias,bias,2,0,2,0,0,0,0,0,0,1.0
transformer_h_6_attn_c_attn_weight,weight,864,863,1,860,3,0,0.996523754345307,0.0034762456546929316,0.0,0.0011574074074074073
transformer_h_6_attn_c_proj_bias,bias,1,0,1,0,0,0,0,0,0,1.0
transformer_h_6_attn_c_proj_weight,weight,288,288,0,288,0,0,1.0,0.0,0.0,0.0
