tensor_name,tensor_type,chunks,used_chunks,skipped_chunks,pred_none,pred_mean,pred_neighbor,pred_none_pct,pred_mean_pct,pred_neighbor_pct,skip_pct
AuxLogits_conv0_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
AuxLogits_conv0_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
AuxLogits_conv0_bn_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
AuxLogits_conv0_bn_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
AuxLogits_conv0_bn_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
AuxLogits_conv0_conv_weight,weight,48,48,0,47,1,0,0.9791666666666666,0.020833333333333332,0.0,0.0
AuxLogits_conv1_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
AuxLogits_conv1_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
AuxLogits_conv1_bn_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
AuxLogits_conv1_bn_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
AuxLogits_conv1_bn_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
AuxLogits_conv1_conv_weight,weight,1200,660,540,27,14,619,0.04090909090909091,0.021212121212121213,0.9378787878787879,0.45
AuxLogits_fc_bias,bias,1,0,1,0,0,0,0,0,0,1.0
AuxLogits_fc_weight,weight,375,375,0,375,0,0,1.0,0.0,0.0,0.0
Conv2d_1a_3x3_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
Conv2d_1a_3x3_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Conv2d_1a_3x3_bn_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Conv2d_1a_3x3_bn_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Conv2d_1a_3x3_bn_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Conv2d_1a_3x3_conv_weight,weight,1,0,1,0,0,0,0,0,0,1.0
Conv2d_2a_3x3_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
Conv2d_2a_3x3_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Conv2d_2a_3x3_bn_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Conv2d_2a_3x3_bn_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Conv2d_2a_3x3_bn_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Conv2d_2a_3x3_conv_weight,weight,5,5,0,4,0,1,0.8,0.0,0.2,0.0
Conv2d_2b_3x3_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
Conv2d_2b_3x3_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Conv2d_2b_3x3_bn_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Conv2d_2b_3x3_bn_running_var,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
Conv2d_2b_3x3_bn_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Conv2d_2b_3x3_conv_weight,weight,9,9,0,7,0,2,0.7777777777777778,0.0,0.2222222222222222,0.0
Conv2d_3b_1x1_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
Conv2d_3b_1x1_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Conv2d_3b_1x1_bn_running_mean,buffer,1,1,0,0,0,1,0.0,0.0,1.0,0.0
Conv2d_3b_1x1_bn_running_var,buffer,1,1,0,0,0,1,0.0,0.0,1.0,0.0
Conv2d_3b_1x1_bn_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Conv2d_3b_1x1_conv_weight,weight,3,3,0,3,0,0,1.0,0.0,0.0,0.0
Conv2d_4a_3x3_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
Conv2d_4a_3x3_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Conv2d_4a_3x3_bn_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Conv2d_4a_3x3_bn_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Conv2d_4a_3x3_bn_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Conv2d_4a_3x3_conv_weight,weight,68,68,0,28,0,40,0.4117647058823529,0.0,0.5882352941176471,0.0
Mixed_5b_branch1x1_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
Mixed_5b_branch1x1_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch1x1_bn_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch1x1_bn_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch1x1_bn_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch1x1_conv_weight,weight,6,6,0,6,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch3x3dbl_1_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
Mixed_5b_branch3x3dbl_1_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch3x3dbl_1_bn_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch3x3dbl_1_bn_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch3x3dbl_1_bn_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch3x3dbl_1_conv_weight,weight,6,6,0,6,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch3x3dbl_2_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
Mixed_5b_branch3x3dbl_2_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch3x3dbl_2_bn_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch3x3dbl_2_bn_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch3x3dbl_2_bn_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch3x3dbl_2_conv_weight,weight,27,27,0,7,0,20,0.25925925925925924,0.0,0.7407407407407407,0.0
Mixed_5b_branch3x3dbl_3_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
Mixed_5b_branch3x3dbl_3_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch3x3dbl_3_bn_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch3x3dbl_3_bn_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch3x3dbl_3_bn_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch3x3dbl_3_conv_weight,weight,41,41,0,30,3,8,0.7317073170731707,0.07317073170731707,0.1951219512195122,0.0
Mixed_5b_branch5x5_1_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
Mixed_5b_branch5x5_1_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch5x5_1_bn_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch5x5_1_bn_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch5x5_1_bn_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch5x5_1_conv_weight,weight,5,5,0,0,0,5,0.0,0.0,1.0,0.0
Mixed_5b_branch5x5_2_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
Mixed_5b_branch5x5_2_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch5x5_2_bn_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch5x5_2_bn_running_var,buffer,1,1,0,0,0,1,0.0,0.0,1.0,0.0
Mixed_5b_branch5x5_2_bn_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch5x5_2_conv_weight,weight,38,38,0,13,0,25,0.34210526315789475,0.0,0.6578947368421053,0.0
Mixed_5b_branch_pool_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
Mixed_5b_branch_pool_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch_pool_bn_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch_pool_bn_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch_pool_bn_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5b_branch_pool_conv_weight,weight,3,3,0,3,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch1x1_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
Mixed_5c_branch1x1_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch1x1_bn_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch1x1_bn_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch1x1_bn_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch1x1_conv_weight,weight,8,8,0,8,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch3x3dbl_1_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
Mixed_5c_branch3x3dbl_1_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch3x3dbl_1_bn_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch3x3dbl_1_bn_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch3x3dbl_1_bn_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch3x3dbl_1_conv_weight,weight,8,8,0,8,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch3x3dbl_2_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
Mixed_5c_branch3x3dbl_2_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch3x3dbl_2_bn_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch3x3dbl_2_bn_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch3x3dbl_2_bn_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch3x3dbl_2_conv_weight,weight,27,27,0,25,2,0,0.9259259259259259,0.07407407407407407,0.0,0.0
Mixed_5c_branch3x3dbl_3_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
Mixed_5c_branch3x3dbl_3_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch3x3dbl_3_bn_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch3x3dbl_3_bn_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch3x3dbl_3_bn_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch3x3dbl_3_conv_weight,weight,41,41,0,39,2,0,0.9512195121951219,0.04878048780487805,0.0,0.0
Mixed_5c_branch5x5_1_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
Mixed_5c_branch5x5_1_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch5x5_1_bn_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch5x5_1_bn_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch5x5_1_bn_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch5x5_1_conv_weight,weight,6,6,0,0,0,6,0.0,0.0,1.0,0.0
Mixed_5c_branch5x5_2_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
Mixed_5c_branch5x5_2_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch5x5_2_bn_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch5x5_2_bn_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch5x5_2_bn_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch5x5_2_conv_weight,weight,38,38,0,31,0,7,0.8157894736842105,0.0,0.18421052631578946,0.0
Mixed_5c_branch_pool_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
Mixed_5c_branch_pool_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch_pool_bn_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch_pool_bn_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch_pool_bn_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5c_branch_pool_conv_weight,weight,8,8,0,8,0,0,1.0,0.0,0.0,0.0
Mixed_5d_branch1x1_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
Mixed_5d_branch1x1_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5d_branch1x1_bn_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5d_branch1x1_bn_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5d_branch1x1_bn_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5d_branch1x1_conv_weight,weight,9,9,0,0,0,9,0.0,0.0,1.0,0.0
Mixed_5d_branch3x3dbl_1_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
Mixed_5d_branch3x3dbl_1_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5d_branch3x3dbl_1_bn_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5d_branch3x3dbl_1_bn_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5d_branch3x3dbl_1_bn_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5d_branch3x3dbl_1_conv_weight,weight,9,9,0,1,0,8,0.1111111111111111,0.0,0.8888888888888888,0.0
Mixed_5d_branch3x3dbl_2_bn_bias,bias,1,0,1,0,0,0,0,0,0,1.0
Mixed_5d_branch3x3dbl_2_bn_num_batches_tracked,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
Mixed_5d_branch3x3dbl_2_bn_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
