tensor_name,tensor_type,chunks,used_chunks,skipped_chunks,pred_none,pred_mean,pred_neighbor,pred_none_pct,pred_mean_pct,pred_neighbor_pct,skip_pct
classifier_0_bias,bias,1,0,1,0,0,0,0,0,0,1.0
classifier_0_weight,weight,600,600,0,600,0,0,1.0,0.0,0.0,0.0
classifier_3_bias,bias,1,0,1,0,0,0,0,0,0,1.0
classifier_3_weight,weight,625,65,560,23,42,0,0.35384615384615387,0.6461538461538462,0.0,0.896
features_0_0_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_0_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_0_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_0_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_0_1_running_var,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_0_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
features_10_block_0_0_weight,weight,8,8,0,4,0,4,0.5,0.0,0.5,0.0
features_10_block_0_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_10_block_0_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_10_block_0_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_10_block_0_1_running_var,buffer,1,1,0,0,0,1,0.0,0.0,1.0,0.0
features_10_block_0_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
features_10_block_1_0_weight,weight,1,0,1,0,0,0,0,0,0,1.0
features_10_block_1_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_10_block_1_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_10_block_1_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_10_block_1_1_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_10_block_1_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
features_10_block_2_0_weight,weight,8,8,0,8,0,0,1.0,0.0,0.0,0.0
features_10_block_2_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_10_block_2_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_10_block_2_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_10_block_2_1_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_10_block_2_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
features_11_block_0_0_weight,weight,19,19,0,19,0,0,1.0,0.0,0.0,0.0
features_11_block_0_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_11_block_0_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_11_block_0_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_11_block_0_1_running_var,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_11_block_0_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
features_11_block_1_0_weight,weight,3,3,0,3,0,0,1.0,0.0,0.0,0.0
features_11_block_1_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_11_block_1_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_11_block_1_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_11_block_1_1_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_11_block_1_1_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_11_block_2_fc1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_11_block_2_fc1_weight,weight,29,29,0,27,0,2,0.9310344827586207,0.0,0.06896551724137931,0.0
features_11_block_2_fc2_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_11_block_2_fc2_weight,weight,29,29,0,24,0,5,0.8275862068965517,0.0,0.1724137931034483,0.0
features_11_block_3_0_weight,weight,27,27,0,27,0,0,1.0,0.0,0.0,0.0
features_11_block_3_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_11_block_3_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_11_block_3_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_11_block_3_1_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_11_block_3_1_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_12_block_0_0_weight,weight,37,37,0,37,0,0,1.0,0.0,0.0,0.0
features_12_block_0_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_12_block_0_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_12_block_0_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_12_block_0_1_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_12_block_0_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
features_12_block_1_0_weight,weight,3,3,0,3,0,0,1.0,0.0,0.0,0.0
features_12_block_1_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_12_block_1_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_12_block_1_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_12_block_1_1_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_12_block_1_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
features_12_block_2_fc1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_12_block_2_fc1_weight,weight,56,56,0,41,0,15,0.7321428571428571,0.0,0.26785714285714285,0.0
features_12_block_2_fc2_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_12_block_2_fc2_weight,weight,56,56,0,31,1,24,0.5535714285714286,0.017857142857142856,0.42857142857142855,0.0
features_12_block_3_0_weight,weight,37,35,2,35,0,0,1.0,0.0,0.0,0.05405405405405406
features_12_block_3_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_12_block_3_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_12_block_3_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_12_block_3_1_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_12_block_3_1_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_13_block_0_0_weight,weight,37,37,0,35,2,0,0.9459459459459459,0.05405405405405406,0.0,0.0
features_13_block_0_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_13_block_0_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_13_block_0_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_13_block_0_1_running_var,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_13_block_0_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
features_13_block_1_0_weight,weight,9,9,0,0,0,9,0.0,0.0,1.0,0.0
features_13_block_1_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_13_block_1_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_13_block_1_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_13_block_1_1_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_13_block_1_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
features_13_block_2_fc1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_13_block_2_fc1_weight,weight,56,56,0,21,0,35,0.375,0.0,0.625,0.0
features_13_block_2_fc2_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_13_block_2_fc2_weight,weight,56,56,0,17,21,18,0.30357142857142855,0.375,0.32142857142857145,0.0
features_13_block_3_0_weight,weight,53,53,0,51,2,0,0.9622641509433962,0.03773584905660377,0.0,0.0
features_13_block_3_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_13_block_3_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_13_block_3_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_13_block_3_1_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_13_block_3_1_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_14_block_0_0_weight,weight,75,75,0,72,3,0,0.96,0.04,0.0,0.0
features_14_block_0_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_14_block_0_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_14_block_0_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_14_block_0_1_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_14_block_0_1_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_14_block_1_0_weight,weight,12,12,0,10,2,0,0.8333333333333334,0.16666666666666666,0.0,0.0
features_14_block_1_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_14_block_1_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_14_block_1_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_14_block_1_1_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_14_block_1_1_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_14_block_2_fc1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_14_block_2_fc1_weight,weight,113,113,0,99,0,14,0.8761061946902655,0.0,0.12389380530973451,0.0
features_14_block_2_fc2_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_14_block_2_fc2_weight,weight,113,113,0,70,38,5,0.6194690265486725,0.336283185840708,0.04424778761061947,0.0
features_14_block_3_0_weight,weight,75,75,0,72,3,0,0.96,0.04,0.0,0.0
features_14_block_3_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_14_block_3_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_14_block_3_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_14_block_3_1_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_14_block_3_1_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_15_block_0_0_weight,weight,75,58,17,56,2,0,0.9655172413793104,0.034482758620689655,0.0,0.22666666666666666
features_15_block_0_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_15_block_0_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_15_block_0_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_15_block_0_1_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_15_block_0_1_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_15_block_1_0_weight,weight,12,12,0,0,12,0,0.0,1.0,0.0,0.0
features_15_block_1_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_15_block_1_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_15_block_1_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_15_block_1_1_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_15_block_1_1_weight,weight,1,1,0,0,0,1,0.0,0.0,1.0,0.0
features_15_block_2_fc1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_15_block_2_fc1_weight,weight,113,113,0,112,1,0,0.9911504424778761,0.008849557522123894,0.0,0.0
features_15_block_2_fc2_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_15_block_2_fc2_weight,weight,113,113,0,88,23,2,0.7787610619469026,0.20353982300884957,0.017699115044247787,0.0
features_15_block_3_0_weight,weight,75,0,75,0,0,0,0,0,0,1.0
features_15_block_3_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_15_block_3_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_15_block_3_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_15_block_3_1_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_15_block_3_1_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_16_0_weight,weight,75,75,0,75,0,0,1.0,0.0,0.0,0.0
features_16_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_16_1_num_batches_tracked,buffer,0,0,0,0,0,0,0,0,0,0
features_16_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_16_1_running_var,buffer,1,1,0,0,0,1,0.0,0.0,1.0,0.0
features_16_1_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_1_block_0_0_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_1_block_0_1_bias,bias,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_1_block_0_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_1_block_0_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_1_block_0_1_running_var,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_1_block_0_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
features_1_block_1_0_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_1_block_1_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_1_block_1_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_1_block_1_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_1_block_1_1_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_1_block_1_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
features_2_block_0_0_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_2_block_0_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_2_block_0_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_2_block_0_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_2_block_0_1_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_2_block_0_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
features_2_block_1_0_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_2_block_1_1_bias,bias,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_2_block_1_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_2_block_1_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_2_block_1_1_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_2_block_1_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
features_2_block_2_0_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_2_block_2_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_2_block_2_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_2_block_2_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_2_block_2_1_running_var,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_2_block_2_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
features_3_block_0_0_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_3_block_0_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_3_block_0_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_3_block_0_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_3_block_0_1_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_3_block_0_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
features_3_block_1_0_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_3_block_1_1_bias,bias,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_3_block_1_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_3_block_1_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_3_block_1_1_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_3_block_1_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
features_3_block_2_0_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_3_block_2_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_3_block_2_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_3_block_2_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_3_block_2_1_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_3_block_2_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
features_4_block_0_0_weight,weight,1,1,0,0,0,1,0.0,0.0,1.0,0.0
features_4_block_0_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_4_block_0_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_4_block_0_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_4_block_0_1_running_var,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_4_block_0_1_weight,weight,1,0,1,0,0,0,0,0,0,1.0
features_4_block_1_0_weight,weight,1,1,0,0,0,1,0.0,0.0,1.0,0.0
features_4_block_1_1_bias,bias,1,0,1,0,0,0,0,0,0,1.0
features_4_block_1_1_num_batches_tracked,buffer,1,1,0,0,1,0,0.0,1.0,0.0,0.0
features_4_block_1_1_running_mean,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_4_block_1_1_running_var,buffer,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_4_block_1_1_weight,weight,1,1,0,0,0,1,0.0,0.0,1.0,0.0
features_4_block_2_fc1_bias,bias,1,1,0,1,0,0,1.0,0.0,0.0,0.0
features_4_block_2_fc1_weight,weight,1,1,0,1,0,0,1.0,0.0,0.0,0.0
