tensor_name,tensor_type,chunks,used_chunks,skipped_chunks,pred_none,pred_mean,pred_neighbor,pred_none_pct,pred_mean_pct,pred_neighbor_pct,skip_pct
classification_head_dense_bias,bias,1,1,0,1,0,0,1.0,0.0,0.0,0.0
classification_head_dense_weight,weight,288,0,288,0,0,0,0,0,0,1.0
classification_head_out_proj_bias,bias,0,0,0,0,0,0,0,0,0,0
classification_head_out_proj_weight,weight,1,0,1,0,0,0,0,0,0,1.0
transformer_decoder_block_0_layer_0_SelfAttention_k_weight,weight,288,288,0,285,3,0,0.9895833333333334,0.010416666666666666,0.0,0.0
transformer_decoder_block_0_layer_0_SelfAttention_o_weight,weight,288,288,0,263,0,25,0.9131944444444444,0.0,0.08680555555555555,0.0
transformer_decoder_block_0_layer_0_SelfAttention_q_weight,weight,288,262,26,258,4,0,0.9847328244274809,0.015267175572519083,0.0,0.09027777777777778
transformer_decoder_block_0_layer_0_SelfAttention_relative_attention_bias_weight,weight,1,1,0,0,0,1,0.0,0.0,1.0,0.0
transformer_decoder_block_0_layer_0_SelfAttention_v_weight,weight,288,8,280,8,0,0,1.0,0.0,0.0,0.9722222222222222
transformer_decoder_block_0_layer_0_layer_norm_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
transformer_decoder_block_0_layer_1_EncDecAttention_k_weight,weight,288,288,0,284,4,0,0.9861111111111112,0.013888888888888888,0.0,0.0
transformer_decoder_block_0_layer_1_EncDecAttention_o_weight,weight,288,288,0,260,0,28,0.9027777777777778,0.0,0.09722222222222222,0.0
transformer_decoder_block_0_layer_1_EncDecAttention_q_weight,weight,288,0,288,0,0,0,0,0,0,1.0
transformer_decoder_block_0_layer_1_EncDecAttention_v_weight,weight,288,0,288,0,0,0,0,0,0,1.0
transformer_decoder_block_0_layer_1_layer_norm_weight,weight,1,1,0,0,0,1,0.0,0.0,1.0,0.0
transformer_decoder_block_0_layer_2_DenseReluDense_wi_weight,weight,1152,1152,0,1080,0,72,0.9375,0.0,0.0625,0.0
transformer_decoder_block_0_layer_2_DenseReluDense_wo_weight,weight,1152,1152,0,1084,17,51,0.9409722222222222,0.014756944444444444,0.044270833333333336,0.0
transformer_decoder_block_0_layer_2_layer_norm_weight,weight,1,1,0,0,1,0,0.0,1.0,0.0,0.0
