model,tensor_category,tensors,chunks,used_chunks,skipped_chunks,pred_none,pred_mean,pred_neighbor,pred_none_pct,pred_mean_pct,pred_neighbor_pct,skip_pct
efficientnet_b7,bias,274,323,11,312,7,1,3,0.6363636363636364,0.09090909090909091,0.2727272727272727,0.9659442724458205
efficientnet_b7,buffer,489,554,554,0,471,75,8,0.8501805054151624,0.13537906137184116,0.01444043321299639,0.0
efficientnet_b7,conv_weight,326,25389,22974,2415,19971,1479,1524,0.8692870201096892,0.06437712196395926,0.06633585792635152,0.09511993382961124
efficientnet_b7,fc_weight,1,1250,0,1250,0,0,0,0.0,0.0,0.0,1.0
efficientnet_b7,mlp_weight,110,5836,5836,0,3503,898,1435,0.6002398903358465,0.15387251542152158,0.24588759424263193,0.0
google-bert,attention_weight,36,10368,5498,4870,5153,336,9,0.9372499090578392,0.06111313204801746,0.001636958894143325,0.4697145061728395
google-bert,bias,100,126,17,109,1,11,5,0.058823529411764705,0.6470588235294118,0.29411764705882354,0.8650793650793651
google-bert,buffer,2,2,2,0,1,0,1,0.5,0.0,0.5,0.0
google-bert,embedding_weight,4,11640,11061,579,2,10867,192,0.0001808154778049001,0.9824608986529247,0.01735828586927041,0.04974226804123711
google-bert,fc_weight,1,288,288,0,288,0,0,1.0,0.0,0.0,0.0
google-bert,mlp_weight,36,31104,25361,5743,21162,54,4145,0.8344308189740152,0.00212925357832893,0.16343992744765584,0.1846386316872428
google-bert,norm_weight,25,25,25,0,0,12,13,0.0,0.48,0.52,0.0
gpt,attention_weight,24,13824,13273,551,13214,57,2,0.9955548858585097,0.004294432306185489,0.00015068183530475403,0.039858217592592594
gpt,bias,72,95,1,94,0,1,0,0.0,1.0,0.0,0.9894736842105263
gpt,embedding_weight,2,15372,3123,12249,3011,21,91,0.9641370477105348,0.0067243035542747355,0.029138648735190523,0.7968384074941453
gpt,mlp_weight,24,27648,27635,13,21223,6395,17,0.7679753935227067,0.2314094445449611,0.0006151619323321874,0.00047019675925925923
gpt,norm_weight,24,24,2,22,1,1,0,0.5,0.5,0.0,0.9166666666666666
gpt2,attention_weight,24,13824,13822,2,12869,55,898,0.9310519461727681,0.003979163652148748,0.0649688901750832,0.00014467592592592592
gpt2,bias,97,6252,6180,72,20,27,6133,0.003236245954692557,0.004368932038834952,0.9923948220064724,0.011516314779270634
gpt2,embedding_weight,2,19231,17998,1233,17998,0,0,1.0,0.0,0.0,0.0641152306172326
gpt2,mlp_weight,24,27648,25412,2236,14663,4538,6211,0.5770108610105462,0.17857705021249803,0.24441208877695578,0.08087384259259259
gpt2,norm_weight,25,25,25,0,0,15,10,0.0,0.6,0.4,0.0
inceptionv3,bias,98,98,0,98,0,0,0,0.0,0.0,0.0,1.0
inceptionv3,buffer,288,287,287,0,282,1,4,0.9825783972125436,0.003484320557491289,0.013937282229965157,0.0
inceptionv3,conv_weight,96,11879,11338,541,7774,827,2737,0.6856588463573823,0.07294055388957488,0.24140059975304287,0.045542554087044364
inceptionv3,fc_weight,2,1375,885,490,878,7,0,0.992090395480226,0.007909604519774011,0.0,0.3563636363636364
inceptionv3,norm_weight,96,96,96,0,96,0,0,1.0,0.0,0.0,0.0
mobilenet_v3,bias,64,64,7,57,6,0,1,0.8571428571428571,0.0,0.14285714285714285,0.890625
mobilenet_v3,buffer,138,137,137,0,82,53,2,0.5985401459854015,0.38686131386861317,0.014598540145985401,0.0
mobilenet_v3,conv_weight,92,767,637,130,579,38,20,0.9089481946624803,0.059654631083202514,0.03139717425431711,0.1694915254237288
mobilenet_v3,fc_weight,2,1225,665,560,623,42,0,0.9368421052631579,0.06315789473684211,0.0,0.45714285714285713
mobilenet_v3,mlp_weight,16,744,744,0,538,84,122,0.7231182795698925,0.11290322580645161,0.1639784946236559,0.0
resnet50,bias,54,53,15,38,0,15,0,0.0,1.0,0.0,0.7169811320754716
resnet50,conv_weight,53,11453,11453,0,4633,4,6816,0.4045228324456474,0.00034925347070636516,0.5951279140836462,0.0
resnet50,fc_weight,1,1000,1000,0,999,0,1,0.999,0.0,0.001,0.0
resnet50,norm_weight,53,53,40,13,0,40,0,0.0,1.0,0.0,0.24528301886792453
t5,attention_weight,146,41474,25116,16358,24349,161,606,0.9694616977225673,0.00641025641025641,0.0241280458671763,0.3944157785600617
t5,bias,2,1,1,0,1,0,0,1.0,0.0,0.0,0.0
t5,embedding_weight,1,12048,3592,8456,3529,63,0,0.9824610244988864,0.017538975501113586,0.0,0.701859229747676
t5,fc_weight,2,289,0,289,0,0,0,0.0,0.0,0.0,1.0
t5,mlp_weight,48,55296,54775,521,47775,786,6214,0.8722044728434505,0.01434961204929256,0.11344591510725696,0.009422019675925927
t5,norm_weight,62,62,62,0,0,40,22,0.0,0.6451612903225806,0.3548387096774194,0.0
vgg19,bias,19,20,0,20,0,0,0,0.0,0.0,0.0,1.0
vgg19,conv_weight,16,9775,9676,99,3032,1123,5521,0.31335262505167427,0.11606035551880943,0.5705870194295163,0.010127877237851662
vgg19,fc_weight,3,60368,26017,34351,1389,803,23825,0.053388169273936276,0.030864434792635585,0.9157473959334281,0.5690266366286775
vitb16,attention_weight,24,13824,13824,0,13339,16,469,0.9649160879629629,0.0011574074074074073,0.03392650462962963,0.0
vitb16,bias,75,98,10,88,6,3,1,0.6,0.3,0.1,0.8979591836734694
vitb16,buffer,2,75,1,74,1,0,0,1.0,0.0,0.0,0.9866666666666667
vitb16,conv_weight,1,288,288,0,189,0,99,0.65625,0.0,0.34375,0.0
vitb16,fc_weight,1,375,375,0,375,0,0,1.0,0.0,0.0,0.0
vitb16,mlp_weight,24,27648,27648,0,25049,70,2529,0.9059968171296297,0.0025318287037037037,0.09147135416666667,0.0
vitb16,norm_weight,25,25,2,23,0,0,2,0.0,0.0,1.0,0.92
